"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100","young","strong","old"
"新竹市","東區","計",212082,12923,15029,14548,13334,12785,11982,14097,20453,19094,16809,14393,12627,10776,8277,4884,4132,2864,1966,869,204,36,42500,146350,23232
"新竹市","東區","男",104363,6636,7947,7572,6920,6604,6148,6789,9516,9169,8210,7175,6265,5155,3796,2156,1672,1151,932,434,96,20,22155,71951,10257
"新竹市","東區","女",107719,6287,7082,6976,6414,6181,5834,7308,10937,9925,8599,7218,6362,5621,4481,2728,2460,1713,1034,435,108,16,20345,74399,12975
"新竹市","北區","計",150501,7800,7998,7181,8936,9853,9656,11050,14263,12613,11928,11076,10329,8956,6924,4070,3342,2158,1515,708,131,14,22979,108660,18862
"新竹市","北區","男",73601,4000,4164,3698,4658,5067,5042,5366,6794,6083,5782,5482,4957,4121,3216,1789,1348,864,716,378,69,7,11862,53352,8387
"新竹市","北區","女",76900,3800,3834,3483,4278,4786,4614,5684,7469,6530,6146,5594,5372,4835,3708,2281,1994,1294,799,330,62,7,11117,55308,10475
"新竹市","香山區","計",77826,4300,3189,3229,4759,5648,5702,6351,7970,6639,6058,5849,5410,4543,3113,1825,1463,931,548,230,58,11,10718,58929,8179
"新竹市","香山區","男",39564,2246,1661,1710,2510,2889,2929,3224,4109,3497,3082,3004,2684,2225,1491,854,672,402,263,90,19,3,5617,30153,3794
"新竹市","香山區","女",38262,2054,1528,1519,2249,2759,2773,3127,3861,3142,2976,2845,2726,2318,1622,971,791,529,285,140,39,8,5101,28776,4385
"新竹縣","竹北市","計",181030,13705,15009,12811,11066,10316,9379,12499,20113,19957,15594,11432,8808,6788,4984,2974,2647,1577,925,367,69,10,41525,125952,13553
"新竹縣","竹北市","男",90138,7096,7790,6726,5866,5316,4804,5962,9299,9654,7903,5715,4436,3263,2380,1385,1234,681,430,161,33,4,21612,62218,6308
"新竹縣","竹北市","女",90892,6609,7219,6085,5200,5000,4575,6537,10814,10303,7691,5717,4372,3525,2604,1589,1413,896,495,206,36,6,19913,63734,7245
"新竹縣","關西鎮","計",28983,820,975,1288,1794,2041,1860,1719,1920,1974,2215,2401,2233,1925,1460,1073,1341,1068,584,240,46,6,3083,20082,5818
"新竹縣","關西鎮","男",15515,422,519,647,974,1068,1013,919,999,1049,1242,1424,1291,1094,749,528,684,512,261,98,20,2,1588,11073,2854
"新竹縣","關西鎮","女",13468,398,456,641,820,973,847,800,921,925,973,977,942,831,711,545,657,556,323,142,26,4,1495,9009,2964
"新竹縣","新埔鎮","計",33478,1256,945,1161,1879,2450,2600,2363,2472,2229,2246,2616,2790,2423,1789,1173,1254,957,602,223,46,4,3362,24068,6048
"新竹縣","新埔鎮","男",17837,669,492,617,963,1330,1425,1291,1400,1193,1238,1409,1534,1281,961,593,611,438,280,97,14,1,1778,13064,2995
"新竹縣","新埔鎮","女",15641,587,453,544,916,1120,1175,1072,1072,1036,1008,1207,1256,1142,828,580,643,519,322,126,32,3,1584,11004,3053
