"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100","young","strong","old"
"新竹市","東區","計",212553,12775,15161,14564,13342,12847,12056,13933,20420,19145,16914,14396,12700,10870,8370,4911,4170,2868,1973,885,215,38,42500,146623,23430
"新竹市","東區","男",104590,6594,7963,7587,6912,6629,6217,6717,9513,9160,8258,7180,6311,5200,3853,2158,1693,1154,918,448,104,21,22144,72097,10349
"新竹市","東區","女",107963,6181,7198,6977,6430,6218,5839,7216,10907,9985,8656,7216,6389,5670,4517,2753,2477,1714,1055,437,111,17,20356,74526,13081
"新竹市","北區","計",150636,7758,8055,7178,8902,9854,9658,10878,14262,12667,11966,11066,10357,9016,7034,4058,3379,2178,1512,710,134,14,22991,108626,19019
"新竹市","北區","男",73639,3978,4219,3699,4641,5051,5050,5288,6806,6087,5774,5491,4953,4161,3267,1786,1355,877,700,381,69,6,11896,53302,8441
"新竹市","北區","女",76997,3780,3836,3479,4261,4803,4608,5590,7456,6580,6192,5575,5404,4855,3767,2272,2024,1301,812,329,65,8,11095,55324,10578
"新竹市","香山區","計",77943,4274,3242,3209,4735,5667,5695,6229,8001,6665,6104,5811,5458,4546,3192,1829,1482,933,563,241,55,12,10725,58911,8307
"新竹市","香山區","男",39602,2224,1682,1700,2500,2897,2922,3159,4124,3514,3120,2973,2708,2227,1518,863,684,400,271,95,18,3,5606,30144,3852
"新竹市","香山區","女",38341,2050,1560,1509,2235,2770,2773,3070,3877,3151,2984,2838,2750,2319,1674,966,798,533,292,146,37,9,5119,28767,4455
"新竹縣","竹北市","計",181955,13601,15172,12970,11072,10427,9455,12339,20081,20091,15820,11465,8954,6802,5064,2993,2647,1613,938,376,65,10,41743,126506,13706
"新竹縣","竹北市","男",90569,7037,7888,6793,5831,5400,4849,5892,9311,9663,8012,5741,4518,3262,2413,1391,1233,704,429,169,29,4,21718,62479,6372
"新竹縣","竹北市","女",91386,6564,7284,6177,5241,5027,4606,6447,10770,10428,7808,5724,4436,3540,2651,1602,1414,909,509,207,36,6,20025,64027,7334
"新竹縣","關西鎮","計",28896,806,961,1279,1773,2057,1861,1679,1917,1962,2212,2394,2242,1934,1472,1052,1334,1063,604,242,47,5,3046,20031,5819
"新竹縣","關西鎮","男",15462,418,503,649,970,1062,1017,905,986,1048,1237,1423,1295,1096,756,520,675,507,274,99,20,2,1570,11039,2853
"新竹縣","關西鎮","女",13434,388,458,630,803,995,844,774,931,914,975,971,947,838,716,532,659,556,330,143,27,3,1476,8992,2966
"新竹縣","新埔鎮","計",33415,1256,943,1134,1838,2458,2595,2364,2466,2227,2257,2592,2784,2432,1810,1172,1241,970,596,231,45,4,3333,24013,6069
"新竹縣","新埔鎮","男",17819,670,495,597,948,1330,1425,1290,1403,1193,1248,1393,1530,1290,969,593,609,445,276,98,15,2,1762,13050,3007
"新竹縣","新埔鎮","女",15596,586,448,537,890,1128,1170,1074,1063,1034,1009,1199,1254,1142,841,579,632,525,320,133,30,2,1571,10963,3062
"新竹縣","竹東鎮","計",96918,4216,4750,5170,6546,7396,6770,6797,8277,7691,7594,7132,6643,5361,4026,2541,2619,1876,1033,370,97,13,14136,70207,12575
"新竹縣","竹東鎮","男",48657,2133,2448,2719,3473,3784,3520,3534,4077,3773,3802,3616,3366,2624,1904,1206,1195,812,470,163,31,7,7300,35569,5788
"新竹縣","竹東鎮","女",48261,2083,2302,2451,3073,3612,3250,3263,4200,3918,3792,3516,3277,2737,2122,1335,1424,1064,563,207,66,6,6836,34638,6787
"新竹縣","湖口鄉","計",77444,3353,3932,3983,5066,6071,5790,5593,6862,6091,5773,5952,5497,4322,3001,1975,1745,1196,839,333,58,12,11268,57017,9159
"新竹縣","湖口鄉","男",39224,1753,2064,2067,2649,3194,3058,2803,3425,3095,2842,3013,2767,2149,1447,870,776,564,483,172,28,5,5884,28995,4345
"新竹縣","湖口鄉","女",38220,1600,1868,1916,2417,2877,2732,2790,3437,2996,2931,2939,2730,2173,1554,1105,969,632,356,161,30,7,5384,28022,4814
"新竹縣","橫山鄉","計",13064,399,401,448,726,968,848,768,885,830,978,1055,1031,934,747,563,618,445,263,131,22,4,1248,9023,2793
"新竹縣","橫山鄉","男",7079,209,212,235,385,510,461,408,520,451,562,638,609,516,416,281,297,194,113,52,9,1,656,5060,1363
"新竹縣","橫山鄉","女",5985,190,189,213,341,458,387,360,365,379,416,417,422,418,331,282,321,251,150,79,13,3,592,3963,1430
"新竹縣","新豐鄉","計",56836,2726,3315,3155,3727,4450,4082,4022,5474,4694,4257,4142,3782,3053,2111,1194,1168,753,498,186,41,6,9196,41683,5957
"新竹縣","新豐鄉","男",29145,1388,1747,1635,1975,2356,2218,2036,2739,2403,2181,2090,1990,1522,1061,580,541,348,222,91,20,2,4770,21510,2865
"新竹縣","新豐鄉","女",27691,1338,1568,1520,1752,2094,1864,1986,2735,2291,2076,2052,1792,1531,1050,614,627,405,276,95,21,4,4426,20173,3092
"新竹縣","芎林鄉","計",20061,739,652,715,1301,1604,1572,1279,1404,1367,1513,1610,1642,1290,1007,664,705,524,322,129,16,6,2106,14582,3373
"新竹縣","芎林鄉","男",10621,404,347,386,669,823,854,693,713,692,823,876,918,704,534,348,386,246,147,51,5,2,1137,7765,1719
"新竹縣","芎林鄉","女",9440,335,305,329,632,781,718,586,691,675,690,734,724,586,473,316,319,278,175,78,11,4,969,6817,1654
"新竹縣","寶山鄉","計",14550,520,391,414,901,1185,1141,936,1134,1037,1195,1405,1244,925,642,371,482,319,197,89,20,2,1325,11103,2122
"新竹縣","寶山鄉","男",7841,281,205,202,453,631,605,498,604,587,626,809,705,549,346,203,253,151,90,32,10,1,688,6067,1086
"新竹縣","寶山鄉","女",6709,239,186,212,448,554,536,438,530,450,569,596,539,376,296,168,229,168,107,57,10,1,637,5036,1036
"新竹縣","北埔鄉","計",9390,289,272,364,597,696,644,566,611,607,692,776,742,625,475,369,455,334,184,68,20,4,925,6556,1909
"新竹縣","北埔鄉","男",5107,148,151,189,302,365,342,336,315,330,401,459,458,368,253,175,230,167,85,25,8,0,488,3676,943
"新竹縣","北埔鄉","女",4283,141,121,175,295,331,302,230,296,277,291,317,284,257,222,194,225,167,99,43,12,4,437,2880,966
"新竹縣","峨眉鄉","計",5538,190,96,133,237,359,364,323,337,307,368,458,496,442,358,257,312,259,165,62,11,4,419,3691,1428
"新竹縣","峨眉鄉","男",3047,100,43,75,144,178,185,168,182,168,215,280,300,282,214,126,158,134,67,18,6,4,218,2102,727
"新竹縣","峨眉鄉","女",2491,90,53,58,93,181,179,155,155,139,153,178,196,160,144,131,154,125,98,44,5,0,201,1589,701
"新竹縣","尖石鄉","計",9543,698,597,632,729,823,736,679,788,731,631,645,578,500,310,167,145,86,49,16,1,2,1927,6840,776
"新竹縣","尖石鄉","男",5035,368,318,322,368,422,385,369,436,410,359,336,315,258,154,86,68,34,22,4,0,1,1008,3658,369
"新竹縣","尖石鄉","女",4508,330,279,310,361,401,351,310,352,321,272,309,263,242,156,81,77,52,27,12,1,1,919,3182,407
"新竹縣","五峰鄉","計",4559,283,193,183,252,299,294,340,382,358,321,430,375,355,215,99,98,47,29,5,0,1,659,3406,494
"新竹縣","五峰鄉","男",2467,150,90,88,130,160,147,187,233,211,199,222,210,182,121,57,41,23,15,1,0,0,328,1881,258
"新竹縣","五峰鄉","女",2092,133,103,95,122,139,147,153,149,147,122,208,165,173,94,42,57,24,14,4,0,1,331,1525,236
