city,area,gender,total,age_4,age_9,age_14,age_19,age_24,age_29,age_34,age_39,age_44,age_49,age_54,age_59,age_64,age_69,age_74,age_79,age_84,age_89,age_94,age_99,age_100,young,strong,old
新竹市,東區,計,13258,14101,8797,5813,13927,12401,11641,15420,20387,17923,16269,14322,12142,10441,7172,4596,4057,2711,1919,819,163,36,42131,145306,22125
新竹市,東區,男,6946,7418,4633,3009,7221,6350,5950,7386,9490,8533,8022,7144,6018,5028,3266,1978,1677,1153,938,425,69,19,22063,71401,9794
新竹市,東區,女,6312,6683,4164,2804,6706,6051,5691,8034,10897,9390,8247,7178,6124,5413,3906,2618,2380,1558,981,394,94,17,20068,73905,12331
新竹市,北區,計,8341,7564,4281,3324,9365,9690,9646,12128,14379,11925,11657,10993,9857,8792,5958,3809,3145,2105,1589,641,135,19,23234,108676,17977
新竹市,北區,男,4299,3920,2213,1757,4820,5033,4917,5812,6889,5806,5674,5465,4623,4114,2778,1625,1273,902,802,347,75,8,12020,53292,8055
新竹市,北區,女,4042,3644,2068,1567,4545,4657,4729,6316,7490,6119,5983,5528,5234,4678,3180,2184,1872,1203,787,294,60,11,11214,55384,9922
新竹市,香山區,計,4475,3117,1802,1579,5043,5576,5602,7095,7808,6211,5911,5872,5070,4335,2665,1754,1370,941,549,187,48,6,10836,58775,7817
新竹市,香山區,男,2295,1641,954,843,2681,2844,2872,3530,4097,3280,3052,2998,2511,2102,1311,839,611,415,253,78,11,3,5649,30074,3650
新竹市,香山區,女,2180,1476,848,736,2362,2732,2730,3565,3711,2931,2859,2874,2559,2233,1354,915,759,526,296,109,37,3,5187,28701,4167
新竹縣,竹北市,計,172490,13776,13662,12005,11095,9753,8834,13690,20032,18104,13972,10683,8042,6357,4316,2965,2444,1496,893,299,64,8,39443,120562,12485
新竹縣,竹北市,男,85939,7117,7116,6324,5793,5037,4492,6427,9239,8986,7070,5373,4078,3033,2049,1401,1176,637,436,130,19,6,20557,59528,5854
新竹縣,竹北市,女,86551,6659,6546,5681,5302,4716,4342,7263,10793,9118,6902,5310,3964,3324,2267,1564,1268,859,457,169,45,2,18886,61034,6631
新竹縣,關西鎮,計,29723,959,1018,1412,1940,2053,1834,1939,1959,2006,2336,2421,2188,1898,1343,1247,1362,1002,549,210,40,7,3389,20574,5760
新竹縣,關西鎮,男,15904,475,554,721,1028,1064,1014,1000,1041,1096,1342,1433,1247,1074,657,634,693,478,249,87,15,2,1750,11339,2815
新竹縣,關西鎮,女,13819,484,464,691,912,989,820,939,918,910,994,988,941,824,686,613,669,524,300,123,25,5,1639,9235,2945
新竹縣,新埔鎮,計,34020,1298,1049,1341,2013,2512,2567,2617,2492,2132,2325,2739,2706,2369,1554,1215,1292,960,591,195,47,6,3688,24472,5860
新竹縣,新埔鎮,男,18123,698,539,695,1065,1379,1394,1416,1379,1152,1287,1472,1471,1271,838,614,611,459,285,83,13,2,1932,13286,2905
新竹縣,新埔鎮,女,15897,600,510,646,948,1133,1173,1201,1113,980,1038,1267,1235,1098,716,601,681,501,306,112,34,4,1756,11186,2955
新竹縣,竹東鎮,計,96696,4429,4820,5670,7015,7226,6461,7411,8223,7465,7513,7226,6194,5101,3549,2649,2621,1734,952,340,85,12,14919,69835,11942
新竹縣,竹東鎮,男,48576,2235,2516,2984,3691,3685,3377,3776,3993,3723,3805,3656,3134,2454,1741,1224,1198,776,431,146,25,6,7735,35294,5547
新竹縣,竹東鎮,女,48120,2194,2304,2686,3324,3541,3084,3635,4230,3742,3708,3570,3060,2647,1808,1425,1423,958,521,194,60,6,7184,34541,6395
新竹縣,湖口鄉,計,77336,3697,3750,4327,5467,6163,5519,6284,6782,5760,5801,5965,5169,4076,2576,1923,1772,1115,860,267,51,12,11774,56986,8576
新竹縣,湖口鄉,男,39264,1917,1996,2293,2837,3246,2862,3119,3388,2940,2892,3039,2606,2016,1200,871,800,566,510,135,25,6,6206,28945,4113
新竹縣,湖口鄉,女,38072,1780,1754,2034,2630,2917,2657,3165,3394,2820,2909,2926,2563,2060,1376,1052,972,549,350,132,26,6,5568,28041,4463
新竹縣,橫山鄉,計,13452,500,406,506,838,954,839,863,913,851,1022,1077,1012,908,667,627,639,409,282,113,21,5,1412,9277,2763
新竹縣,橫山鄉,男,7293,265,204,268,449,504,449,453,518,478,600,647,592,514,356,316,310,186,125,47,11,1,737,5204,1352
新竹縣,橫山鄉,女,6159,235,202,238,389,450,390,410,395,373,422,430,420,394,311,311,329,223,157,66,10,4,675,4073,1411
新竹縣,新豐鄉,計,56251,2954,3102,3315,4070,4359,3894,4584,5339,4374,4160,4163,3529,2864,1775,1217,1111,728,502,164,39,8,9371,41336,5544
新竹縣,新豐鄉,男,28864,1519,1643,1729,2174,2305,2045,2284,2662,2283,2116,2149,1839,1441,886,597,524,342,233,72,17,4,4891,21298,2675
新竹縣,新豐鄉,女,27387,1435,1459,1586,1896,2054,1849,2300,2677,2091,2044,2014,1690,1423,889,620,587,386,269,92,22,4,4480,20038,2869
新竹縣,芎林鄉,計,20216,796,638,844,1411,1589,1489,1436,1381,1386,1526,1684,1537,1279,852,709,721,524,310,84,18,2,2278,14718,3220
新竹縣,芎林鄉,男,10710,422,353,434,751,815,794,762,709,721,833,918,853,686,473,372,386,253,137,33,5,0,1209,7842,1659
新竹縣,芎林鄉,女,9506,374,285,410,660,774,695,674,672,665,693,766,684,593,379,337,335,271,173,51,13,2,1069,6876,1561
新竹縣,寶山鄉,計,14281,484,401,483,995,1162,1023,942,1082,1019,1246,1371,1165,865,529,443,463,314,205,77,10,2,1368,10870,2043
