city,area,gender,total,age_4,age_9,age_14,age_19,age_24,age_29,age_34,age_39,age_44,age_49,age_54,age_59,age_64,age_69,age_74,age_79,age_84,age_89,age_94,age_99,age_100,young,strong,old
新竹市,東區,計,13284,14167,8790,5804,13801,12415,11744,15184,20305,18120,16356,14348,12217,10483,7347,4661,4060,2692,1932,813,165,36,42131,145306,22125
新竹市,東區,男,6930,7475,4625,2997,7198,6341,5995,7265,9408,8700,8035,7165,6064,5055,3358,2009,1667,1136,941,421,74,19,22063,71401,9794
新竹市,東區,女,6354,6692,4165,2807,6603,6074,5749,7919,10897,9420,8321,7183,6153,5428,3989,2652,2393,1556,991,392,91,17,20068,73905,12331
新竹市,北區,計,8309,7587,4254,3285,9310,9751,9667,11959,14443,12021,11657,11058,9885,8838,6106,3853,3165,2093,1569,645,135,20,23234,108676,17977
新竹市,北區,男,4260,3933,2206,1731,4808,5036,4957,5765,6876,5837,5694,5487,4639,4117,2861,1642,1288,885,788,355,72,8,12020,53292,8055
新竹市,北區,女,4049,3654,2048,1554,4502,4715,4710,6194,7567,6184,5963,5571,5246,4721,3245,2211,1877,1208,781,290,63,12,11214,55384,9922
新竹市,香山區,計,4420,3108,1795,1542,5046,5562,5606,6965,7874,6279,5953,5901,5079,4380,2761,1755,1396,932,548,195,50,7,10836,58775,7817
新竹市,香山區,男,2281,1621,857,938,2681,2838,2859,3492,4133,3308,3050,3030,2502,2119,1357,836,629,409,252,84,14,4,5649,30074,3650
新竹市,香山區,女,2139,1487,938,604,2365,2724,2747,3473,3741,2971,2903,2871,2577,2261,1404,919,767,523,296,111,36,3,5187,28701,4167
新竹縣,竹北市,計,174057,13906,13877,12103,11121,9783,8966,13523,20078,18471,14172,10832,8155,6410,4444,2948,2503,1492,880,318,67,8,39886,121511,12660
新竹縣,竹北市,男,86708,7193,7225,6390,5813,5027,4581,6374,9226,9162,7150,5445,4141,3061,2102,1387,1210,632,423,138,23,5,20808,59980,5920
新竹縣,竹北市,女,87349,6713,6652,5713,5308,4756,4385,7149,10852,9309,7022,5387,4014,3349,2342,1561,1293,860,457,180,44,3,19078,61531,6740
新竹縣,關西鎮,計,29609,938,995,1370,1932,2067,1837,1899,1939,2011,2316,2445,2173,1915,1353,1225,1369,1013,547,217,41,7,3303,20534,5772
新竹縣,關西鎮,男,15850,477,534,705,1027,1072,1012,981,1024,1093,1327,1443,1240,1085,674,619,698,485,246,91,15,2,1716,11304,2830
新竹縣,關西鎮,女,13759,461,461,665,905,995,825,918,915,918,989,1002,933,830,679,606,671,528,301,126,26,5,1587,9230,2942
新竹縣,新埔鎮,計,33947,1298,1031,1308,2000,2517,2560,2549,2493,2145,2332,2717,2710,2412,1585,1195,1296,944,610,191,48,6,3637,24435,5875
新竹縣,新埔鎮,男,18089,704,538,672,1060,1379,1387,1394,1368,1170,1279,1469,1465,1286,868,594,623,445,294,79,13,2,1914,13257,2918
新竹縣,新埔鎮,女,15858,594,493,636,940,1138,1173,1155,1125,975,1053,1248,1245,1126,717,601,673,499,316,112,35,4,1723,11178,2957
新竹縣,竹東鎮,計,96831,4397,4887,5568,6994,7231,6453,7402,8217,7506,7541,7235,6202,5167,3626,2629,2625,1758,964,333,86,10,14852,69948,12031
新竹縣,竹東鎮,男,48701,2203,2562,2947,3678,3706,3371,3794,4001,3731,3815,3672,3124,2510,1763,1234,1192,778,442,148,24,6,7712,35402,5587
新竹縣,竹東鎮,女,48130,2194,2325,2621,3316,3525,3082,3608,4216,3775,3726,3563,3078,2657,1863,1395,1433,980,522,185,62,4,7140,34546,6444
新竹縣,湖口鄉,計,77477,3667,3777,4242,5442,6177,5584,6173,6837,5831,5812,5959,5199,4139,2625,1924,1772,1123,858,276,48,12,11686,57153,8638
新竹縣,湖口鄉,男,39300,1902,2011,2239,2820,3259,2894,3061,3424,2964,2880,3036,2622,2051,1237,872,788,565,505,141,23,6,6152,29011,4137
新竹縣,湖口鄉,女,38177,1765,1766,2003,2622,2918,2690,3112,3413,2867,2932,2923,2577,2088,1388,1052,984,558,353,135,25,6,5534,28142,4501
新竹縣,橫山鄉,計,13395,489,418,489,821,943,832,868,907,846,1023,1064,1015,924,668,614,649,406,276,118,20,5,1396,9243,2756
新竹縣,橫山鄉,男,7257,254,212,255,434,509,449,452,515,474,595,643,589,524,359,308,321,178,127,48,10,1,721,5184,1352
新竹縣,橫山鄉,女,6138,235,206,234,387,434,383,416,392,372,428,421,426,400,309,306,328,228,149,70,10,4,675,4059,1404
新竹縣,新豐鄉,計,56325,2940,3110,3294,4033,4353,3943,4491,5368,4418,4183,4169,3549,2889,1806,1212,1136,722,498,164,39,8,9344,41396,5585
新竹縣,新豐鄉,男,28894,1494,1647,1727,2137,2311,2079,2249,2680,2300,2122,2164,1849,1449,899,598,532,336,230,70,17,4,4868,21340,2686
新竹縣,新豐鄉,女,27431,1446,1463,1567,1896,2042,1864,2242,2688,2118,2061,2005,1700,1440,907,614,604,386,268,94,22,4,4476,20056,2899
新竹縣,芎林鄉,計,20181,785,636,814,1387,1614,1494,1419,1394,1382,1518,1667,1562,1283,871,687,727,527,312,82,18,2,2235,14720,3226
新竹縣,芎林鄉,男,10693,410,349,421,733,831,805,756,711,720,828,913,866,688,485,362,388,250,140,32,5,0,1180,7851,1662
新竹縣,芎林鄉,女,9488,375,287,393,654,783,689,663,683,662,690,754,696,595,386,325,339,277,172,50,13,2,1055,6869,1564
新竹縣,寶山鄉,計,14326,483,395,483,1008,1151,1056,911,1102,1026,1228,1407,1156,874,543,432,455,322,203,79,10,2,1361,10919,2046
新竹縣,寶山鄉,男,7749,264,205,262,505,604,562,487,600,551,678,797,686,490,320,223,234,157,90,29,5,0,731,5960,1058
新竹縣,寶山鄉,女,6577,219,190,221,503,547,494,424,502,475,550,610,470,384,223,209,221,165,113,50,5,2,630,4959,988
新竹縣,北埔鄉,計,9582,315,267,413,673,699,634,609,622,619,748,781,718,580,460,416,462,319,164,62,21,0,995,6683,1904
新竹縣,北埔鄉,男,5191,163,147,219,330,385,332,332,330,336,435,469,454,328,230,209,240,157,63,25,7,0,529,3731,931
新竹縣,北埔鄉,女,4391,152,120,194,343,314,302,277,292,283,313,312,264,252,230,207,222,162,101,37,14,0,466,2952,973
新竹縣,峨眉鄉,計,5611,172,109,156,268,356,357,333,312,347,381,481,487,426,324,306,313,250,162,53,16,2,437,3748,1426
新竹縣,峨眉鄉,男,3104,88,54,90,164,171,191,177,162,185,231,306,306,250,195,153,159,126,64,20,11,1,232,2143,729
新竹縣,峨眉鄉,女,2507,84,55,66,104,185,166,156,150,162,150,175,181,176,129,153,154,124,98,33,5,1,205,1605,697
新竹縣,尖石鄉,計,9312,704,530,611,754,795,687,762,780,649,629,641,583,451,281,166,136,94,43,13,2,1,1845,6731,736
新竹縣,尖石鄉,男,4946,353,286,315,386,405,379,412,455,359,365,324,322,229,148,83,61,38,19,6,1,0,954,3636,356
新竹縣,尖石鄉,女,4366,351,244,296,368,390,308,350,325,290,264,317,261,222,133,83,75,56,24,7,1,1,891,3095,380
新竹縣,五峰鄉,計,4551,296,180,184,247,301,309,386,368,352,338,433,375,331,184,93,103,40,24,5,2,0,660,3440,451
新竹縣,五峰鄉,男,2472,154,89,97,132,154,149,216,224,211,212,220,206,181,99,50,43,20,11,3,1,0,340,1905,227
新竹縣,五峰鄉,女,2079,142,91,87,115,147,160,170,144,141,126,213,169,150,85,43,60,20,13,2,1,0,320,1535,224
