city,area,gender,total,age_4,age_9,age_14,age_19,age_24,age_29,age_34,age_39,age_44,age_49,age_54,age_59,age_64,age_69,age_74,age_79,age_84,age_89,age_94,age_99,age_100,young,strong,old
新竹市,東區,計,207705,13092,14153,15045,13743,12328,11563,16328,20345,17779,16134,14121,11997,10240,6554,4728,3956,2707,1908,789,158,37,42290,144578,20837
新竹市,東區,男,102356,6837,7445,7853,7134,6286,5861,7775,9480,8469,7964,7123,5886,4929,3019,2015,1641,1176,961,407,73,22,22135,70907,9314
新竹市,東區,女,105349,6255,6708,7192,6609,6042,5702,8553,10865,9310,8170,6998,6111,5311,3535,2713,2315,1531,947,382,85,15,20155,73671,11523
新竹市,北區,計,148989,8291,7681,7773,9500,9597,9688,12637,14165,11783,11674,10882,9811,8610,5436,3971,3041,2125,1572,611,124,17,23745,108347,16897
新竹市,北區,男,73080,4286,4040,4048,4858,5001,4918,6023,6822,5750,5719,5389,4597,4027,2529,1669,1247,936,826,323,64,8,12374,53104,7602
新竹市,北區,女,75909,4005,3641,3725,4642,4596,4770,6614,7343,6033,5955,5493,5214,4583,2907,2302,1794,1189,746,288,60,9,11371,55243,9295
新竹市,香山區,計,76654,4402,3150,3512,5100,5596,5550,7418,7650,6124,5864,5876,4937,4219,2421,1784,1329,936,539,199,41,7,11064,58334,7256
新竹市,香山區,男,39058,2269,1641,1869,2705,2869,2837,3706,3986,3257,3042,2967,2457,2043,1189,851,593,421,261,82,9,4,5779,29869,3410
新竹市,香山區,女,37596,2133,1509,1643,2395,2727,2713,3712,3664,2867,2822,2909,2480,2176,1232,933,736,515,278,117,32,3,5285,28465,3846
新竹縣,竹北市,計,169593,13454,13541,11911,10824,9627,8618,14265,20043,17567,13401,10422,7726,6218,3893,3046,2345,1482,862,276,64,8,38906,118711,11976
新竹縣,竹北市,男,84606,6940,7053,6275,5653,4983,4372,6720,9290,8755,6799,5272,3909,2950,1854,1465,1098,647,427,117,21,6,20268,58703,5635
新竹縣,竹北市,女,84987,6514,6488,5636,5171,4644,4246,7545,10753,8812,6602,5150,3817,3268,2039,1581,1247,835,435,159,43,2,18638,60008,6341
新竹縣,關西鎮,計,30058,1023,1053,1513,1965,2069,1841,2005,1977,2077,2347,2433,2151,1869,1259,1340,1370,987,533,198,45,3,3589,20734,5735
新竹縣,關西鎮,男,16065,495,573,796,1014,1057,1020,1013,1054,1160,1341,1457,1218,1041,625,692,683,468,258,83,17,0,1864,11375,2826
新竹縣,關西鎮,女,13993,528,480,717,951,1012,821,992,923,917,1006,976,933,828,634,648,687,519,275,115,28,3,1725,9359,2909
新竹縣,新埔鎮,計,34141,1272,1089,1383,2094,2543,2574,2682,2446,2126,2419,2768,2645,2332,1437,1287,1288,933,582,192,44,5,3744,24629,5768
新竹縣,新埔鎮,男,18181,674,552,737,1134,1377,1371,1454,1341,1174,1338,1483,1434,1246,783,652,616,439,280,79,14,3,1963,13352,2866
新竹縣,新埔鎮,女,15960,598,537,646,960,1166,1203,1228,1105,952,1081,1285,1211,1086,654,635,672,494,302,113,30,2,1781,11277,2902
新竹縣,竹東鎮,計,96023,4295,4926,5913,7109,7120,6318,7429,8041,7474,7412,7254,6090,4930,3282,2765,2605,1729,916,329,77,9,15134,69177,11712
