"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100","young","strong","old"
"新竹市","東區","計",208890,13304,14173,14602,13711,12439,11786,15067,20312,18189,16406,14345,12213,10543,7393,4701,4050,2693,1929,831,168,35,42079,145011,21800
"新竹市","東區","男",102942,6925,7469,7641,7139,6362,6013,7208,9429,8723,8067,7158,6070,5079,3379,2025,1658,1137,932,437,73,18,22035,71248,9659
"新竹市","東區","女",105948,6379,6704,6961,6572,6077,5773,7859,10883,9466,8339,7187,6143,5464,4014,2676,2392,1556,997,394,95,17,20044,73763,12141
"新竹市","北區","計",149674,8284,7591,7504,9294,9789,9642,11899,14415,12109,11645,11067,9877,8886,6172,3874,3158,2108,1550,657,133,20,23379,108623,17672
"新竹市","北區","男",73246,4243,3933,3924,4794,5047,4948,5741,6862,5862,5697,5504,4638,4119,2894,1655,1281,891,778,357,70,8,12100,53212,7934
"新竹市","北區","女",76428,4041,3658,3580,4500,4742,4694,6158,7553,6247,5948,5563,5239,4767,3278,2219,1877,1217,772,300,63,12,11279,55411,9738
"新竹市","香山區","計",77241,4437,3103,3319,5071,5578,5604,6943,7845,6323,5975,5886,5073,4414,2792,1752,1396,930,550,192,51,7,10859,58712,7670
"新竹市","香山區","男",39321,2285,1618,1767,2684,2855,2861,3482,4123,3340,3045,3028,2492,2147,1377,831,627,407,251,82,15,4,5670,30057,3594
"新竹市","香山區","女",37920,2152,1485,1552,2387,2723,2743,3461,3722,2983,2930,2858,2581,2267,1415,921,769,523,299,110,36,3,5189,28655,4076
"新竹縣","竹北市","計",174542,13964,13916,12149,11122,9796,8966,13474,20059,18611,14306,10852,8159,6480,4461,2963,2509,1478,885,320,64,8,40029,121825,12688
"新竹縣","竹北市","男",86933,7231,7233,6420,5809,5027,4584,6365,9204,9226,7212,5454,4143,3103,2098,1398,1212,624,424,139,22,5,20884,60127,5922
"新竹縣","竹北市","女",87609,6733,6683,5729,5313,4769,4382,7109,10855,9385,7094,5398,4016,3377,2363,1565,1297,854,461,181,42,3,19145,61698,6766
"新竹縣","關西鎮","計",29577,934,1006,1362,1925,2066,1830,1895,1939,2005,2300,2451,2172,1933,1341,1221,1363,1013,552,220,41,8,3302,20516,5759
"新竹縣","關西鎮","男",15837,482,537,700,1019,1068,1014,982,1025,1085,1316,1448,1240,1104,663,620,694,486,244,93,14,3,1719,11301,2817
"新竹縣","關西鎮","女",13740,452,469,662,906,998,816,913,914,920,984,1003,932,829,678,601,669,527,308,127,27,5,1583,9215,2942
"新竹縣","新埔鎮","計",33894,1288,1023,1286,1992,2520,2568,2526,2485,2157,2342,2701,2682,2437,1608,1195,1294,941,599,194,50,6,3597,24410,5887
"新竹縣","新埔鎮","男",18077,699,538,670,1051,1382,1386,1388,1362,1182,1285,1463,1445,1303,878,590,627,443,287,81,15,2,1907,13247,2923
