city,area,gender,total,age_4,age_9,age_14,age_19,age_24,age_29,age_34,age_39,age_44,age_49,age_54,age_59,age_64,age_69,age_74,age_79,age_84,age_89,age_94,age_99,age_100,young,strong,old
新竹市,東區,計,206843 ,12943 ,14051 ,15598 ,13643 ,12388 ,11576 ,17109 ,19955 ,17701 ,16035 ,13912 ,11886 ,9783 ,6026 ,4883 ,3833 ,2737 ,1858 ,742 ,145 ,39 ,42592 ,143988 ,20263 
新竹市,東區,男,101915 ,6703 ,7382 ,8147 ,7064 ,6340 ,5816 ,8124 ,9311 ,8433 ,7896 ,7038 ,5857 ,4708 ,2760 ,2086 ,1586 ,1239 ,947 ,388 ,68 ,22 ,22232 ,70587 ,9096 
新竹市,東區,女,104928 ,6240 ,6669 ,7451 ,6579 ,6048 ,5760 ,8985 ,10644 ,9268 ,8139 ,6874 ,6029 ,5075 ,3266 ,2797 ,2247 ,1498 ,911 ,354 ,77 ,17 ,20360 ,73401 ,11167 
新竹市,北區,計,148753 ,8337 ,7696 ,8106 ,9506 ,9589 ,9784 ,13162 ,14002 ,11832 ,11529 ,10849 ,9638 ,8269 ,4972 ,4108 ,2920 ,2190 ,1566 ,569 ,115 ,14 ,24139 ,108160 ,16454 
新竹市,北區,男,73001 ,4317 ,4044 ,4197 ,4900 ,5000 ,4907 ,6221 ,6759 ,5805 ,5676 ,5304 ,4539 ,3863 ,2287 ,1742 ,1225 ,996 ,833 ,322 ,55 ,9 ,12558 ,52974 ,7469 
新竹市,北區,女,75752 ,4020 ,3652 ,3909 ,4606 ,4589 ,4877 ,6941 ,7243 ,6027 ,5853 ,5545 ,5099 ,4406 ,2685 ,2366 ,1695 ,1194 ,733 ,247 ,60 ,5 ,11581 ,55186 ,8985 
新竹市,香山區,計,76392 ,4445 ,3270 ,3621 ,5077 ,5651 ,5582 ,7774 ,7432 ,6025 ,5791 ,5904 ,4795 ,4021 ,2257 ,1778 ,1293 ,912 ,545 ,169 ,45 ,5 ,11336 ,58052 ,7004 
新竹市,香山區,男,38920 ,2306 ,1697 ,1960 ,2662 ,2907 ,2825 ,3854 ,3854 ,3260 ,2970 ,2987 ,2387 ,1960 ,1101 ,843 ,572 ,427 ,266 ,69 ,9 ,4 ,5963 ,29666 ,3291 
新竹市,香山區,女,37472 ,2139 ,1573 ,1661 ,2415 ,2744 ,2757 ,3920 ,3578 ,2765 ,2821 ,2917 ,2408 ,2061 ,1156 ,935 ,721 ,485 ,279 ,100 ,36 ,1 ,5373 ,28386 ,3713 
新竹縣,竹北市,計,165118 ,12771 ,13421 ,11814 ,10527 ,9403 ,8539 ,14509 ,19609 ,17015 ,12748 ,9894 ,7532 ,5807 ,3538 ,3120 ,2246 ,1458 ,830 ,263 ,58 ,16 ,38006 ,115583 ,11529 
新竹縣,竹北市,男,82329 ,6576 ,7004 ,6179 ,5515 ,4874 ,4282 ,6814 ,9139 ,8491 ,6469 ,5037 ,3794 ,2740 ,1691 ,1504 ,1036 ,639 ,414 ,106 ,16 ,9 ,19759 ,57155 ,5415 
新竹縣,竹北市,女,82789 ,6195 ,6417 ,5635 ,5012 ,4529 ,4257 ,7695 ,10470 ,8524 ,6279 ,4857 ,3738 ,3067 ,1847 ,1616 ,1210 ,819 ,416 ,157 ,42 ,7 ,18247 ,58428 ,6114 
新竹縣,關西鎮,計,30751 ,1161 ,1140 ,1616 ,2007 ,2122 ,1897 ,2135 ,2059 ,2164 ,2409 ,2390 ,2122 ,1820 ,1178 ,1453 ,1383 ,961 ,503 ,181 ,47 ,3 ,3917 ,21125 ,5709 
新竹縣,關西鎮,男,16376 ,563 ,602 ,865 ,1025 ,1089 ,1018 ,1064 ,1086 ,1223 ,1398 ,1409 ,1208 ,993 ,594 ,746 ,685 ,473 ,241 ,76 ,18 ,0 ,2030 ,11513 ,2833 
新竹縣,關西鎮,女,14375 ,598 ,538 ,751 ,982 ,1033 ,879 ,1071 ,973 ,941 ,1011 ,981 ,914 ,827 ,584 ,707 ,698 ,488 ,262 ,105 ,29 ,3 ,1887 ,9612 ,2876 
新竹縣,新埔鎮,計,34427 ,1268 ,1132 ,1508 ,2088 ,2708 ,2525 ,2775 ,2465 ,2116 ,2439 ,2839 ,2656 ,2218 ,1348 ,1357 ,1284 ,921 ,543 ,187 ,47 ,3 ,3908 ,24829 ,5690 
新竹縣,新埔鎮,男,18298 ,668 ,574 ,804 ,1129 ,1461 ,1338 ,1488 ,1348 ,1168 ,1343 ,1533 ,1433 ,1196 ,718 ,681 ,620 ,442 ,267 ,71 ,15 ,1 ,2046 ,13437 ,2815 
新竹縣,新埔鎮,女,16129 ,600 ,558 ,704 ,959 ,1247 ,1187 ,1287 ,1117 ,948 ,1096 ,1306 ,1223 ,1022 ,630 ,676 ,664 ,479 ,276 ,116 ,32 ,2 ,1862 ,11392 ,2875 
新竹縣,竹東鎮,計,96059 ,4278 ,5054 ,6354 ,7142 ,7128 ,6226 ,7619 ,7928 ,7635 ,7339 ,7214 ,5913 ,4750 ,3057 ,2891 ,2538 ,1701 ,899 ,316 ,67 ,10 ,15686 ,68894 ,11479 
新竹縣,竹東鎮,男,48297 ,2169 ,2644 ,3339 ,3760 ,3650 ,3232 ,3754 ,3872 ,3819 ,3775 ,3664 ,2956 ,2288 ,1504 ,1349 ,1174 ,778 ,412 ,134 ,19 ,5 ,8152 ,34770 ,5375 
新竹縣,竹東鎮,女,47762 ,2109 ,2410 ,3015 ,3382 ,3478 ,2994 ,3865 ,4056 ,3816 ,3564 ,3550 ,2957 ,2462 ,1553 ,1542 ,1364 ,923 ,487 ,182 ,48 ,5 ,7534 ,34124 ,6104 
新竹縣,湖口鄉,計,77210 ,3694 ,3961 ,4704 ,5627 ,6023 ,5555 ,6646 ,6585 ,5775 ,5943 ,5844 ,4839 ,3765 ,2259 ,2077 ,1653 ,1171 ,798 ,236 ,46 ,9 ,12359 ,56602 ,8249 
