city,area,gender,total,age_4,age_9,age_14,age_19,age_24,age_29,age_34,age_39,age_44,age_49,age_54,age_59,age_64,age_69,age_74,age_79,age_84,age_89,age_94,age_99,age_100,young,strong,old
新竹市,東區,計,191153,13060,14133,8951,6239,13694,12310,11596,20272,17768,16082,14118,11977,10192,6461,4770,3947,2705,1899,789,154,36,36144,134248,20761
新竹市,東區,男,94503,6802,7442,4692,3245,7117,6266,5893,9434,8491,7911,7121,5892,4914,2975,2029,1639,1182,957,406,74,21,18936,66284,9283
新竹市,東區,女,96650,6258,6691,4259,2994,6577,6044,5703,10838,9277,8171,6997,6085,5278,3486,2741,2308,1523,942,383,80,15,17208,67964,11478
新竹市,北區,計,136285,8304,7714,4375,3460,9498,9629,9700,14097,11776,11661,10901,9753,8590,5359,3996,3029,2134,1568,601,123,17,20393,99065,16827
新竹市,北區,男,67027,4301,4051,2252,1832,4839,5018,4916,6805,5736,5717,5385,4572,4023,2494,1677,1243,949,824,321,64,8,10604,48843,7580
新竹市,北區,女,69258,4003,3663,2123,1628,4659,4611,4784,7292,6040,5944,5516,5181,4567,2865,2319,1786,1185,744,280,59,9,9789,50222,9247
新竹市,香山區,計,69131,4403,3147,1863,1669,5092,5604,5521,7634,6102,5864,5853,4944,4196,2400,1808,1316,937,534,196,41,7,9413,52479,7239
新竹市,香山區,男,35282,2277,1631,1000,867,2710,2889,2796,3962,3273,3035,2951,2455,2033,1180,862,587,425,257,80,8,4,4908,26971,3403
新竹市,香山區,女,33849,2126,1516,863,802,2382,2715,2725,3672,2829,2829,2902,2489,2163,1220,946,729,512,277,116,33,3,4505,25508,3836
新竹縣,竹北市,計,169095,13392,13531,11910,10758,9608,8605,14309,20010,17492,13345,10329,7706,6200,3829,3077,2323,1479,850,269,64,9,38833,118362,11900
新竹縣,竹北市,男,84334,6901,7049,6265,5629,4966,4369,6721,9290,8716,6766,5217,3898,2951,1826,1477,1086,643,421,116,21,6,20215,58523,5596
新竹縣,竹北市,女,84761,6491,6482,5645,5129,4642,4236,7588,10720,8776,6579,5112,3808,3249,2003,1600,1237,836,429,153,43,3,18618,59839,6304
新竹縣,關西鎮,計,30120,1033,1062,1531,1974,2068,1843,2018,1978,2090,2350,2428,2150,1866,1240,1371,1366,984,526,194,45,3,3626,20765,5729
新竹縣,關西鎮,男,16092,500,582,805,1012,1059,1017,1014,1059,1171,1343,1443,1221,1037,621,709,681,469,252,80,17,0,1887,11376,2829
新竹縣,關西鎮,女,14028,533,480,726,962,1009,826,1004,919,919,1007,985,929,829,619,662,685,515,274,114,28,3,1739,9389,2900
新竹縣,新埔鎮,計,34181,1276,1107,1392,2092,2585,2561,2693,2430,2137,2417,2769,2650,2323,1409,1301,1287,935,579,189,44,5,3775,24657,5749
新竹縣,新埔鎮,男,18196,676,563,737,1130,1403,1365,1455,1333,1182,1338,1483,1435,1239,772,656,614,443,278,77,14,3,1976,13363,2857
新竹縣,新埔鎮,女,15985,600,544,655,962,1182,1196,1238,1097,955,1079,1286,1215,1084,637,645,673,492,301,112,30,2,1799,11294,2892
新竹縣,竹東鎮,計,96045,4290,4953,5998,7109,7129,6300,7446,8020,7497,7372,7255,6065,4928,3234,2798,2594,1731,921,319,77,9,15241,69121,11683
新竹縣,竹東鎮,男,48241,2183,2546,3189,3731,3634,3293,3718,3908,3714,3793,3658,3060,2371,1585,1307,1171,799,421,131,24,5,7918,34880,5443
