city,area,gender,total,age_4,age_9,age_14,age_19,age_24,age_29,age_34,age_39,age_44,age_49,age_54,age_59,age_64,age_69,age_74,age_79,age_84,age_89,age_94,age_99,age_100,young,strong,old
新竹市,東區,計,"220,340","12,007","17,029","15,061","12,257","12,667","12,458","13,581","18,693","21,883","17,312","15,263","13,421","11,717","9,982","6,372","4,133","3,314","1,867",979,289,55,44097,149252,26991
新竹市,東區,男,"108,511","6,227","8,904","7,975","6,335","6,589","6,401","6,822","8,857","10,172","8,473","7,577","6,627","5,648","4,689","2,846","1,690","1,299",765,447,140,28,23106,73501,11904
新竹市,東區,女,"111,829","5,780","8,125","7,086","5,922","6,078","6,057","6,759","9,836","11,711","8,839","7,686","6,794","6,069","5,293","3,526","2,443","2,015","1,102",532,149,27,20991,75751,15087
新竹市,北區,計,"152,540","6,730","8,640","6,934","7,978","9,460","9,729","9,990","12,975","14,258","11,822","11,602","10,664","9,540","8,369","5,405","3,444","2,527","1,451",794,208,20,22304,108018,22218
新竹市,北區,男,"74,350","3,487","4,400","3,624","4,127","4,839","5,037","5,031","6,191","6,955","5,692","5,575","5,212","4,412","3,835","2,495","1,414",972,578,365,100,9,11511,53071,9768
新竹市,北區,女,"78,190","3,243","4,240","3,310","3,851","4,621","4,692","4,959","6,784","7,303","6,130","6,027","5,452","5,128","4,534","2,910","2,030","1,555",873,429,108,11,10793,54947,12450
新竹市,香山區,計,"78,775","3,576","3,371","2,909","4,385","5,331","5,732","5,605","7,139","7,523","6,330","5,980","5,758","4,984","4,136","2,368","1,610","1,070",615,277,68,8,9856,58767,10152
新竹市,香山區,男,"40,018","1,812","1,771","1,542","2,357","2,811","2,941","2,934","3,647","3,946","3,237","3,043","2,873","2,436","1,955","1,125",744,436,258,120,27,3,5125,30225,4668
新竹市,香山區,女,"38,757","1,764","1,600","1,367","2,028","2,520","2,791","2,671","3,492","3,577","3,093","2,937","2,885","2,548","2,181","1,243",866,634,357,157,41,5,4731,28542,5484
新竹縣,竹北市,計,"201,134","13,710","17,282","14,354","11,680","11,038","10,537","12,741","19,328","23,027","18,492","13,897","10,645","7,962","6,196","3,998","2,679","1,958","1,054",441,102,13,45346,139347,16441
新竹縣,竹北市,男,"100,076","7,102","8,916","7,427","6,146","5,783","5,431","6,381","9,166","10,714","9,203","7,059","5,244","3,956","2,893","1,859","1,238",888,433,197,37,3,23445,69083,7548
新竹縣,竹北市,女,"101,058","6,608","8,366","6,927","5,534","5,255","5,106","6,360","10,162","12,313","9,289","6,838","5,401","4,006","3,303","2,139","1,441","1,070",621,244,65,10,21901,70264,8893
新竹縣,關西鎮,計,"27,744",799,880,980,"1,449","1,934","1,876","1,609","1,736","1,833","1,970","2,295","2,339","2,034","1,667","1,118","1,083","1,094",681,277,77,13,2659,19075,6010
新竹縣,關西鎮,男,"14,918",439,436,540,753,"1,032",998,912,911,968,"1,078","1,303","1,394","1,146",930,546,533,542,302,119,29,7,1415,10495,3008
新竹縣,關西鎮,女,"12,826",360,444,440,696,902,878,697,825,865,892,992,945,888,737,572,550,552,379,158,48,6,1244,8580,3002
新竹縣,新埔鎮,計,"33,008","1,007","1,007",935,"1,554","2,184","2,512","2,387","2,433","2,440","2,173","2,395","2,767","2,635","2,167","1,346","1,103","1,010",634,264,51,4,2949,23480,6579
新竹縣,新埔鎮,男,"17,586",526,532,491,804,"1,154","1,381","1,332","1,360","1,364","1,163","1,307","1,493","1,442","1,145",703,530,455,277,112,15,0,1549,12800,3237
新竹縣,新埔鎮,女,"15,422",481,475,444,750,"1,030","1,131","1,055","1,073","1,076","1,010","1,088","1,274","1,193","1,022",643,573,555,357,152,36,4,1400,10680,3342
新竹縣,竹東鎮,計,"97,013","3,894","4,947","4,590","5,582","6,855","6,939","6,557","7,937","8,155","7,254","7,349","6,965","5,967","4,753","3,113","2,343","2,073","1,151",464,107,18,13431,69560,14022
新竹縣,竹東鎮,男,"48,822","2,029","2,548","2,375","2,976","3,659","3,568","3,464","4,058","3,961","3,587","3,689","3,506","2,973","2,275","1,473","1,063",899,478,184,50,7,6952,35441,6429
新竹縣,竹東鎮,女,"48,191","1,865","2,399","2,215","2,606","3,196","3,371","3,093","3,879","4,194","3,667","3,660","3,459","2,994","2,478","1,640","1,280","1,174",673,280,57,11,6479,34119,7593
新竹縣,湖口鄉,計,"79,044","2,961","4,224","3,735","4,433","5,518","6,087","5,528","6,586","7,026","5,790","5,854","5,868","4,979","3,762","2,279","1,728","1,371",746,448,110,11,10920,57669,10455
新竹縣,湖口鄉,男,"40,013","1,554","2,185","1,947","2,358","2,880","3,281","2,915","3,248","3,527","2,906","2,866","2,955","2,506","1,832","1,036",765,596,350,253,48,5,5686,29442,4885
新竹縣,湖口鄉,女,"39,031","1,407","2,039","1,788","2,075","2,638","2,806","2,613","3,338","3,499","2,884","2,988","2,913","2,473","1,930","1,243",963,775,396,195,62,6,5234,28227,5570
新竹縣,橫山鄉,計,"12,526",347,368,385,617,829,889,738,772,852,799,"1,036","1,055",956,816,593,542,481,270,134,42,5,1100,8543,2883
新竹縣,橫山鄉,男,"6,802",187,188,202,328,442,490,424,426,470,436,609,631,554,455,308,258,216,106,59,11,2,577,4810,1415
新竹縣,橫山鄉,女,"5,724",160,180,183,289,387,399,314,346,382,363,427,424,402,361,285,284,265,164,75,31,3,523,3733,1468
新竹縣,新豐鄉,計,"57,514","2,377","3,555","2,962","3,276","4,073","4,241","3,885","4,881","5,435","4,342","4,139","4,052","3,386","2,649","1,524","1,072",853,511,250,46,5,8894,41710,6910
新竹縣,新豐鄉,男,"29,458","1,224","1,799","1,594","1,699","2,176","2,287","2,054","2,477","2,748","2,242","2,077","2,090","1,716","1,286",749,491,376,246,103,23,1,4617,21566,3275
新竹縣,新豐鄉,女,"28,056","1,153","1,756","1,368","1,577","1,897","1,954","1,831","2,404","2,687","2,100","2,062","1,962","1,670","1,363",775,581,477,265,147,23,4,4277,20144,3635
新竹縣,芎林鄉,計,"19,860",633,587,559,"1,073","1,510","1,544","1,432","1,373","1,371","1,404","1,581","1,648","1,506","1,201",737,625,548,351,149,23,5,1779,14442,3639
新竹縣,芎林鄉,男,"10,490",339,300,298,569,783,809,811,758,689,725,853,882,829,631,405,319,272,151,60,6,1,937,7708,1845
新竹縣,芎林鄉,女,"9,370",294,287,261,504,727,735,621,615,682,679,728,766,677,570,332,306,276,200,89,17,4,842,6734,1794
新竹縣,寶山鄉,計,"14,611",521,370,307,659,"1,112","1,176","1,041","1,054","1,106","1,091","1,298","1,385","1,125",830,453,401,356,204,102,19,1,1198,11047,2366
新竹縣,寶山鄉,男,"7,947",287,200,164,346,558,641,585,571,612,579,706,790,652,473,260,214,166,93,41,8,1,651,6040,1256
新竹縣,寶山鄉,女,"6,664",234,170,143,313,554,535,456,483,494,512,592,595,473,357,193,187,190,111,61,11,0,547,5007,1110
新竹縣,北埔鄉,計,"9,014",256,278,237,441,662,659,539,560,589,621,741,765,682,527,399,380,362,200,90,23,3,771,6259,1984
新竹縣,北埔鄉,男,"4,920",133,145,135,245,343,360,303,316,318,337,424,458,421,288,193,190,186,86,33,6,0,413,3525,982
新竹縣,北埔鄉,女,"4,094",123,133,102,196,319,299,236,244,271,284,317,307,261,239,206,190,176,114,57,17,3,358,2734,1002
新竹縣,峨眉鄉,計,"5,388",164,114,86,207,312,374,320,306,303,357,409,508,475,375,267,277,262,170,79,21,2,364,3571,1453
新竹縣,峨眉鄉,男,"2,964",85,57,49,115,176,192,173,157,159,188,246,304,304,224,159,132,125,79,32,7,1,191,2014,759
新竹縣,峨眉鄉,女,"2,424",79,57,37,92,136,182,147,149,144,169,163,204,171,151,108,145,137,91,47,14,1,173,1557,694
新竹縣,尖石鄉,計,"9,637",659,591,558,709,795,799,639,737,773,668,637,609,549,394,218,132,94,52,18,4,2,1808,6915,914
新竹縣,尖石鄉,男,"5,008",341,293,299,360,400,409,353,388,434,349,353,303,294,190,119,61,38,18,4,1,1,933,3643,432
新竹縣,尖石鄉,女,"4,629",318,298,259,349,395,390,286,349,339,319,284,306,255,204,99,71,56,34,14,3,1,875,3272,482
新竹縣,五峰鄉,計,"4,489",254,183,153,239,299,316,282,359,373,331,358,403,344,284,129,78,75,19,9,1,0,590,3304,595
新竹縣,五峰鄉,男,"2,431",134,91,81,123,165,161,148,213,215,189,206,205,180,164,68,42,31,9,6,0,0,306,1805,320
新竹縣,五峰鄉,女,"2,058",120,92,72,116,134,155,134,146,158,142,152,198,164,120,61,36,44,10,3,1,0,284,1499,275
