city,area,gender,total,age_4,age_9,age_14,age_19,age_24,age_29,age_34,age_39,age_44,age_49,age_54,age_59,age_64,age_69,age_74,age_79,age_84,age_89,age_94,age_99,age_100,young,strong,old
新竹市,東區,計,205848,12870,13882,15806,13727,12317,11794,17514,19612,17587,15910,13704,11782,9497,5778,4830,3789,2773,1781,716,133,46,42558,143444,19846
新竹市,東區,男,98409,6666,7351,5241,7130,6292,5866,8281,9142,8365,7883,6898,5791,4550,2645,2074,1576,1278,915,369,68,28,19258,70198,8953
新竹市,東區,女,104439,6204,6531,7565,6597,6025,5928,9233,10470,9222,8027,6806,5991,4947,3133,2756,2213,1495,866,347,65,18,20300,73246,10893
新竹市,北區,計,148259,8269,7715,8202,9588,9601,9969,13550,13675,11855,11342,10818,9552,8031,4746,4077,2865,2239,1499,557,91,18,24186,107981,16092
新竹市,北區,男,72804,4298,4051,4254,4907,5002,4997,6375,6607,5811,5620,5255,4518,3763,2168,1723,1235,1049,800,316,45,10,12603,52855,7346
新竹市,北區,女,75455,3971,3664,3948,4681,4599,4972,7175,7068,6044,5722,5563,5034,4268,2578,2354,1630,1190,699,241,46,8,11583,55126,8746
新竹市,香山區,計,75934,4429,3334,3566,5133,5603,5776,7913,7200,5996,5754,5787,4786,3765,2230,1737,1309,883,525,158,43,7,11329,57713,6892
新竹市,香山區,男,38695,2297,1717,1913,2731,2863,2907,3934,3758,3210,2992,2912,2388,1827,1088,815,580,428,260,59,10,6,5927,29522,3246
新竹市,香山區,女,37239,2132,1617,1653,2402,2740,2869,3979,3442,2786,2762,2875,2398,1938,1142,922,729,455,265,99,33,1,5402,28191,3646
新竹縣,竹北市,計,161704,12526,12988,11690,10479,9116,8571,14752,19213,16527,12173,9593,7273,5587,3401,3107,2184,1409,785,259,56,15,37204,113284,11216
新竹縣,竹北市,男,80705,6500,6767,6094,5477,4767,4219,6905,9031,8291,6162,4884,3657,2658,1639,1497,1006,632,387,108,17,7,19361,56051,5293
新竹縣,竹北市,女,80999,6026,6221,5596,5002,4349,4352,7847,10182,8236,6011,4709,3616,2929,1762,1610,1178,777,398,151,39,8,17843,57233,5923
新竹縣,關西鎮,計,30824,1164,1190,1638,2058,2120,1903,2155,2085,2170,2398,2370,2083,1840,1130,1487,1379,947,491,167,45,4,3992,21182,5650
新竹縣,關西鎮,男,16431,582,627,866,1050,1109,1010,1077,1100,1222,1406,1397,1176,999,581,759,686,471,222,70,19,2,2075,11546,2810
新竹縣,關西鎮,女,14393,582,563,772,1008,1011,893,1078,985,948,992,973,907,841,549,728,693,476,269,97,26,2,1917,9636,2840
新竹縣,新埔鎮,計,34621,1272,1202,1558,2160,2679,2587,2813,2420,2151,2492,2804,2660,2158,1322,1368,1295,913,538,182,46,1,4032,24924,5665
新竹縣,新埔鎮,男,18397,672,625,822,1170,1431,1365,1521,1326,1193,1352,1525,1432,1177,682,687,625,445,264,67,15,1,2119,13492,2786
新竹縣,新埔鎮,女,16224,600,577,736,990,1248,1222,1292,1094,958,1140,1279,1228,981,640,681,670,468,274,115,31,0,1913,11432,2879
