"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100","young","strong","old"
"新竹市","東區","計",210690,13252,14510,14598,13574,12665,11834,14456,20302,18726,16693,14447,12353,10709,7866,4770,4109,2812,1928,856,195,35,42360,145759,22571
"新竹市","東區","男",103735,6851,7691,7594,7035,6534,6065,6958,9415,8966,8173,7189,6160,5138,3581,2082,1686,1149,916,442,90,20,22136,71633,9966
"新竹市","東區","女",106955,6401,6819,7004,6539,6131,5769,7498,10887,9760,8520,7258,6193,5571,4285,2688,2423,1663,1012,414,105,15,20224,74126,12605
"新竹市","北區","計",150147,8108,7725,7336,9141,9830,9664,11458,14193,12495,11833,11029,10140,8808,6623,3981,3260,2133,1547,686,141,16,23169,108591,18387
"新竹市","北區","男",73501,4151,4040,3806,4724,5079,5019,5543,6731,6064,5745,5487,4825,4063,3094,1730,1316,889,747,368,74,6,11997,53280,8224
"新竹市","北區","女",76646,3957,3685,3530,4417,4751,4645,5915,7462,6431,6088,5542,5315,4745,3529,2251,1944,1244,800,318,67,10,11172,55311,10163
"新竹市","香山區","計",77485,4449,3126,3221,4932,5604,5685,6552,7889,6478,5999,5839,5260,4484,2966,1787,1446,926,546,235,53,8,10796,58722,7967
"新竹市","香山區","男",39380,2295,1632,1717,2619,2847,2909,3305,4108,3412,3071,2988,2595,2170,1445,844,646,409,251,99,15,3,5644,30024,3712
"新竹市","香山區","女",38105,2154,1494,1504,2313,2757,2776,3247,3781,3066,2928,2851,2665,2314,1521,943,800,517,295,136,38,5,5152,28698,4255
"新竹縣","竹北市","計",177751,13924,14485,12422,11042,10127,9138,12978,19799,19455,14968,11151,8476,6597,4790,2935,2590,1543,896,358,65,12,40831,123731,13189
"新竹縣","竹北市","男",88563,7244,7519,6575,5795,5204,4681,6143,9095,9548,7567,5595,4288,3169,2251,1397,1227,644,432,157,27,5,21338,61085,6140
"新竹縣","竹北市","女",89188,6680,6966,5847,5247,4923,4457,6835,10704,9907,7401,5556,4188,3428,2539,1538,1363,899,464,201,38,7,19493,62646,7049
"新竹縣","關西鎮","計",29271,894,980,1319,1849,2036,1869,1771,1941,1986,2260,2434,2180,1915,1440,1118,1361,1069,560,233,47,9,3193,20241,5837
"新竹縣","關西鎮","男",15679,463,531,664,996,1064,1021,932,1021,1064,1278,1437,1259,1087,721,563,694,512,251,97,22,2,1658,11159,2862
"新竹縣","關西鎮","女",13592,431,449,655,853,972,848,839,920,922,982,997,921,828,719,555,667,557,309,136,25,7,1535,9082,2975
"新竹縣","新埔鎮","計",33638,1264,997,1213,1911,2494,2600,2388,2500,2200,2270,2651,2751,2412,1712,1176,1282,955,587,223,46,6,3474,24177,5987
"新竹縣","新埔鎮","男",17917,681,520,641,998,1346,1428,1315,1384,1185,1255,1414,1500,1287,925,584,627,434,286,90,15,2,1842,13112,2963
"新竹縣","新埔鎮","女",15721,583,477,572,913,1148,1172,1073,1116,1015,1015,1237,1251,1125,787,592,655,521,301,133,31,4,1632,11065,3024
"新竹縣","竹東鎮","計",96877,4326,4794,5397,6762,7298,6623,7107,8231,7595,7600,7149,6390,5259,3880,2536,2641,1823,1003,365,85,13,14517,70014,12346
"新竹縣","竹東鎮","男",48681,2168,2481,2862,3580,3751,3443,3671,4021,3756,3817,3631,3234,2566,1846,1197,1210,793,459,157,31,7,7511,35470,5700
"新竹縣","竹東鎮","女",48196,2158,2313,2535,3182,3547,3180,3436,4210,3839,3783,3518,3156,2693,2034,1339,1431,1030,544,208,54,6,7006,34544,6646
"新竹縣","湖口鄉","計",77508,3602,3814,4123,5269,6138,5672,5903,6817,5909,5825,5988,5302,4192,2877,1918,1778,1153,847,313,56,12,11539,57015,8954
"新竹縣","湖口鄉","男",39286,1874,2013,2158,2754,3202,2988,2926,3425,2987,2874,3048,2668,2091,1374,852,785,581,496,157,28,5,6045,28963,4278
"新竹縣","湖口鄉","女",38222,1728,1801,1965,2515,2936,2684,2977,3392,2922,2951,2940,2634,2101,1503,1066,993,572,351,156,28,7,5494,28052,4676
"新竹縣","橫山鄉","計",13281,456,394,479,789,958,838,834,886,839,1022,1046,1017,946,697,583,637,432,270,136,19,3,1329,9175,2777
"新竹縣","橫山鄉","男",7195,239,206,245,428,506,454,445,507,458,595,621,600,537,381,292,308,190,114,58,9,2,690,5151,1354
"新竹縣","橫山鄉","女",6086,217,188,234,361,452,384,389,379,381,427,425,417,409,316,291,329,242,156,78,10,1,639,4024,1423
"新竹縣","新豐鄉","計",56546,2883,3176,3252,3911,4359,3997,4251,5388,4544,4193,4198,3655,2959,1988,1173,1156,742,501,171,44,5,9311,41455,5780
