"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100","young","strong","old"
"新竹市","東區","計",212234,12822,15086,14558,13349,12784,12009,14017,20427,19104,16869,14386,12671,10807,8326,4908,4151,2871,1960,882,210,37,42466,146423,23345
"新竹市","東區","男",104430,6587,7973,7567,6932,6605,6171,6758,9492,9158,8247,7164,6291,5173,3833,2158,1680,1155,920,446,100,20,22127,71991,10312
"新竹市","東區","女",107804,6235,7113,6991,6417,6179,5838,7259,10935,9946,8622,7222,6380,5634,4493,2750,2471,1716,1040,436,110,17,20339,74432,13033
"新竹市","北區","計",150572,7798,8005,7196,8895,9862,9642,10983,14246,12646,11952,11070,10339,8992,6991,4059,3367,2159,1516,709,131,14,22999,108627,18946
"新竹市","北區","男",73594,3994,4175,3714,4639,5063,5037,5323,6792,6081,5783,5471,4956,4144,3249,1783,1359,865,713,379,68,6,11883,53289,8422
"新竹市","北區","女",76978,3804,3830,3482,4256,4799,4605,5660,7454,6565,6169,5599,5383,4848,3742,2276,2008,1294,803,330,63,8,11116,55338,10524
"新竹市","香山區","計",77911,4302,3214,3226,4752,5655,5703,6297,7971,6636,6093,5853,5414,4549,3160,1822,1472,931,554,239,57,11,10742,58923,8246
"新竹市","香山區","男",39609,2245,1675,1706,2518,2879,2930,3197,4107,3504,3106,2998,2686,2223,1517,854,681,400,267,94,19,3,5626,30148,3835
"新竹市","香山區","女",38302,2057,1539,1520,2234,2776,2773,3100,3864,3132,2987,2855,2728,2326,1643,968,791,531,287,145,38,8,5116,28775,4411
"新竹縣","竹北市","計",181419,13635,15088,12903,11063,10366,9400,12410,20079,20031,15720,11422,8904,6795,4997,2989,2643,1593,938,367,66,10,41626,126190,13603
"新竹縣","竹北市","男",90319,7061,7834,6773,5839,5355,4820,5899,9313,9667,7968,5719,4480,3266,2385,1391,1227,694,432,162,30,4,21668,62326,6325
"新竹縣","竹北市","女",91100,6574,7254,6130,5224,5011,4580,6511,10766,10364,7752,5703,4424,3529,2612,1598,1416,899,506,205,36,6,19958,63864,7278
"新竹縣","關西鎮","計",28933,812,960,1281,1787,2037,1875,1693,1918,1971,2221,2392,2235,1926,1471,1059,1328,1082,590,245,45,5,3053,20055,5825
"新竹縣","關西鎮","男",15484,421,509,647,975,1053,1021,913,989,1050,1246,1418,1292,1093,756,523,673,521,262,101,19,2,1577,11050,2857
"新竹縣","關西鎮","女",13449,391,451,634,812,984,854,780,929,921,975,974,943,833,715,536,655,561,328,144,26,3,1476,9005,2968
"新竹縣","新埔鎮","計",33469,1253,951,1149,1862,2456,2602,2360,2472,2226,2256,2612,2779,2423,1812,1163,1257,959,603,224,45,5,3353,24048,6068
"新竹縣","新埔鎮","男",17837,669,500,607,956,1335,1431,1283,1402,1193,1245,1402,1528,1282,969,589,614,441,277,97,15,2,1776,13057,3004
"新竹縣","新埔鎮","女",15632,584,451,542,906,1121,1171,1077,1070,1033,1011,1210,1251,1141,843,574,643,518,326,127,30,3,1577,10991,3064
"新竹縣","竹東鎮","計",96929,4239,4744,5173,6566,7380,6749,6879,8268,7695,7601,7135,6609,5355,4008,2522,2625,1884,1018,370,96,13,14156,70237,12536
"新竹縣","竹東鎮","男",48664,2135,2448,2729,3488,3764,3501,3593,4067,3783,3788,3636,3338,2626,1888,1203,1199,815,462,163,31,7,7312,35584,5768
"新竹縣","竹東鎮","女",48265,2104,2296,2444,3078,3616,3248,3286,4201,3912,3813,3499,3271,2729,2120,1319,1426,1069,556,207,65,6,6844,34653,6768
"新竹縣","湖口鄉","計",77500,3379,3944,3980,5104,6070,5800,5635,6854,6064,5794,5962,5471,4320,2972,1968,1759,1189,832,335,57,11,11303,57074,9123
"新竹縣","湖口鄉","男",39253,1759,2082,2057,2666,3193,3067,2820,3424,3080,2847,3024,2748,2154,1429,869,786,563,483,170,28,4,5898,29023,4332
"新竹縣","湖口鄉","女",38247,1620,1862,1923,2438,2877,2733,2815,3430,2984,2947,2938,2723,2166,1543,1099,973,626,349,165,29,7,5405,28051,4791
"新竹縣","橫山鄉","計",13101,412,399,456,730,971,840,785,877,835,980,1054,1030,940,743,573,613,444,263,132,20,4,1267,9042,2792
"新竹縣","橫山鄉","男",7095,212,215,233,388,512,456,417,516,453,564,637,607,523,414,285,295,193,114,52,8,1,660,5073,1362
"新竹縣","橫山鄉","女",6006,200,184,223,342,459,384,368,361,382,416,417,423,417,329,288,318,251,149,80,12,3,607,3969,1430
