city,area,gender,total,age_4,age_9,age_14,age_19,age_24,age_29,age_34,age_39,age_44,age_49,age_54,age_59,age_64,age_69,age_74,age_79,age_84,age_89,age_94,age_99,age_100,young,strong,old
新竹市,東區,計,"220,635","11,975","17,027","15,131","12,191","12,598","12,477","13,693","18,534","21,901","17,397","15,321","13,499","11,712","9,984","6,574","4,068","3,344","1,890",963,297,59,44133,149323,27179
新竹市,東區,男,"108,656","6,212","8,906","7,986","6,304","6,565","6,431","6,870","8,788","10,188","8,519","7,606","6,627","5,673","4,693","2,928","1,667","1,310",772,436,146,29,23104,73571,11981
新竹市,東區,女,"111,979","5,763","8,121","7,145","5,887","6,033","6,046","6,823","9,746","11,713","8,878","7,715","6,872","6,039","5,291","3,646","2,401","2,034","1,118",527,151,30,21029,75752,15198
新竹市,北區,計,"152,553","6,687","8,652","6,882","7,943","9,423","9,770","9,969","12,861","14,343","11,798","11,607","10,699","9,542","8,443","5,535","3,381","2,549","1,442",803,202,22,22221,107955,22377
新竹市,北區,男,"74,368","3,469","4,419","3,580","4,125","4,833","5,054","5,030","6,133","6,985","5,671","5,594","5,237","4,395","3,870","2,551","1,398",973,578,367,95,11,11468,53057,9843
新竹市,北區,女,"78,185","3,218","4,233","3,302","3,818","4,590","4,716","4,939","6,728","7,358","6,127","6,013","5,462","5,147","4,573","2,984","1,983","1,576",864,436,107,11,10753,54898,12534
新竹市,香山區,計,"78,680","3,535","3,359","2,889","4,350","5,299","5,716","5,618","7,011","7,545","6,351","5,962","5,805","4,973","4,146","2,455","1,606","1,090",612,282,68,8,9783,58630,10267
新竹市,香山區,男,"39,978","1,791","1,765","1,517","2,349","2,781","2,947","2,931","3,590","3,965","3,254","3,034","2,902","2,425","1,961","1,173",741,446,253,124,26,3,5073,30178,4727
新竹市,香山區,女,"38,702","1,744","1,594","1,372","2,001","2,518","2,769","2,687","3,421","3,580","3,097","2,928","2,903","2,548","2,185","1,282",865,644,359,158,42,5,4710,28452,5540
新竹縣,竹北市,計,"202,100","13,689","17,397","14,355","11,742","11,065","10,556","12,809","19,308","23,063","18,676","14,038","10,739","8,038","6,193","4,150","2,650","2,006","1,059",453,100,14,45441,140034,16625
新竹縣,竹北市,男,"100,566","7,071","8,990","7,462","6,160","5,772","5,456","6,437","9,134","10,729","9,320","7,119","5,301","3,973","2,912","1,928","1,223",907,435,198,35,4,23523,69401,7642
新竹縣,竹北市,女,"101,534","6,618","8,407","6,893","5,582","5,293","5,100","6,372","10,174","12,334","9,356","6,919","5,438","4,065","3,281","2,222","1,427","1,099",624,255,65,10,21918,70633,8983
新竹縣,關西鎮,計,"27,667",808,857,975,"1,440","1,912","1,876","1,630","1,716","1,822","1,948","2,270","2,353","2,039","1,662","1,152","1,058","1,094",677,288,77,13,2640,19006,6021
新竹縣,關西鎮,男,"14,883",444,421,545,740,"1,024","1,002",915,902,965,"1,057","1,296","1,399","1,154",935,555,518,552,303,121,29,6,1410,10454,3019
新竹縣,關西鎮,女,"12,784",364,436,430,700,888,874,715,814,857,891,974,954,885,727,597,540,542,374,167,48,7,1230,8552,3002
新竹縣,新埔鎮,計,"32,997","1,002","1,029",908,"1,539","2,162","2,520","2,403","2,412","2,447","2,194","2,350","2,787","2,658","2,161","1,376","1,086","1,016",630,264,48,5,2939,23472,6586
新竹縣,新埔鎮,男,"17,572",524,548,477,788,"1,133","1,398","1,334","1,363","1,362","1,167","1,272","1,512","1,456","1,141",716,522,460,272,113,13,1,1549,12785,3238
新竹縣,新埔鎮,女,"15,425",478,481,431,751,"1,029","1,122","1,069","1,049","1,085","1,027","1,078","1,275","1,202","1,020",660,564,556,358,151,35,4,1390,10687,3348
新竹縣,竹東鎮,計,"96,898","3,849","4,962","4,578","5,516","6,787","6,964","6,581","7,850","8,171","7,249","7,287","7,015","5,956","4,807","3,183","2,306","2,076","1,161",473,109,18,13389,69376,14133
新竹縣,竹東鎮,男,"48,778","2,004","2,557","2,364","2,929","3,621","3,594","3,494","4,018","3,973","3,591","3,651","3,539","2,954","2,307","1,512","1,039",902,481,188,52,8,6925,35364,6489
新竹縣,竹東鎮,女,"48,120","1,845","2,405","2,214","2,587","3,166","3,370","3,087","3,832","4,198","3,658","3,636","3,476","3,002","2,500","1,671","1,267","1,174",680,285,57,10,6464,34012,7644
新竹縣,湖口鄉,計,"79,150","2,965","4,233","3,732","4,385","5,516","6,131","5,498","6,559","7,083","5,790","5,810","5,896","5,043","3,774","2,327","1,706","1,377",766,441,108,10,10930,57711,10509
新竹縣,湖口鄉,男,"40,032","1,552","2,182","1,949","2,333","2,858","3,308","2,921","3,226","3,547","2,912","2,849","2,957","2,532","1,845","1,054",750,598,364,245,46,4,5683,29443,4906
新竹縣,湖口鄉,女,"39,118","1,413","2,051","1,783","2,052","2,658","2,823","2,577","3,333","3,536","2,878","2,961","2,939","2,511","1,929","1,273",956,779,402,196,62,6,5247,28268,5603
新竹縣,橫山鄉,計,"12,494",344,374,376,608,814,888,738,767,859,793,"1,018","1,065",964,816,601,539,481,268,131,45,5,1094,8514,2886
新竹縣,橫山鄉,男,"6,785",181,195,201,322,437,482,425,423,478,435,595,636,560,453,313,258,217,105,54,13,2,577,4793,1415
新竹縣,橫山鄉,女,"5,709",163,179,175,286,377,406,313,344,381,358,423,429,404,363,288,281,264,163,77,32,3,517,3721,1471
新竹縣,新豐鄉,計,"57,564","2,378","3,543","2,964","3,248","4,062","4,272","3,902","4,834","5,426","4,362","4,114","4,082","3,418","2,655","1,569","1,060",857,508,260,45,5,8885,41720,6959
新竹縣,新豐鄉,男,"29,509","1,233","1,801","1,579","1,699","2,171","2,297","2,075","2,454","2,732","2,260","2,075","2,090","1,739","1,296",766,497,374,237,110,23,1,4613,21592,3304
