"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100","young","strong","old"
"新竹市","東區","計",211505,13085,14869,14524,13470,12759,11892,14299,20377,18967,16714,14406,12604,10677,8049,4821,4149,2842,1924,848,195,34,42478,146165,22862
"新竹市","東區","男",104103,6750,7877,7576,6968,6592,6119,6856,9462,9103,8166,7151,6285,5109,3685,2105,1696,1152,920,426,85,20,22203,71811,10089
"新竹市","東區","女",107402,6335,6992,6948,6502,6167,5773,7443,10915,9864,8548,7255,6319,5568,4364,2716,2453,1690,1004,422,110,14,20275,74354,12773
"新竹市","北區","計",150278,7934,7839,7237,9018,9881,9612,11310,14165,12548,11952,11045,10232,8879,6796,4028,3302,2141,1518,693,134,14,23010,108642,18626
"新竹市","北區","男",73504,4067,4095,3723,4683,5096,4997,5461,6755,6059,5809,5472,4904,4073,3158,1771,1340,869,725,371,70,6,11885,53309,8310
"新竹市","北區","女",76774,3867,3744,3514,4335,4785,4615,5849,7410,6489,6143,5573,5328,4806,3638,2257,1962,1272,793,322,64,8,11125,55333,10316
"新竹市","香山區","計",77652,4373,3185,3227,4823,5637,5688,6448,7937,6566,6009,5837,5345,4520,3038,1813,1440,929,550,228,51,8,10785,58810,8057
"新竹市","香山區","男",39461,2266,1650,1703,2550,2890,2908,3282,4104,3449,3085,2982,2664,2188,1460,850,653,406,260,92,16,3,5619,30102,3740
"新竹市","香山區","女",38191,2107,1535,1524,2273,2747,2780,3166,3833,3117,2924,2855,2681,2332,1578,963,787,523,290,136,35,5,5166,28708,4317
"新竹縣","竹北市","計",179602,13813,14809,12586,11131,10166,9283,12778,20008,19689,15296,11295,8677,6670,4920,2956,2620,1559,916,353,65,12,41208,124993,13401
"新竹縣","竹北市","男",89435,7166,7697,6606,5883,5242,4749,6060,9220,9585,7747,5662,4383,3198,2335,1385,1234,658,435,157,28,5,21469,61729,6237
"新竹縣","竹北市","女",90167,6647,7112,5980,5248,4924,4534,6718,10788,10104,7549,5633,4294,3472,2585,1571,1386,901,481,196,37,7,19739,63264,7164
"新竹縣","關西鎮","計",29133,865,980,1294,1830,2039,1867,1740,1904,2003,2242,2408,2209,1922,1449,1099,1342,1071,580,232,48,9,3139,20164,5830
"新竹縣","關西鎮","男",15600,444,525,646,994,1073,1019,929,988,1068,1270,1421,1280,1087,734,550,684,511,254,99,22,2,1615,11129,2856
"新竹縣","關西鎮","女",13533,421,455,648,836,966,848,811,916,935,972,987,929,835,715,549,658,560,326,133,26,7,1524,9035,2974
"新竹縣","新埔鎮","計",33591,1272,982,1206,1901,2454,2607,2368,2499,2201,2272,2635,2768,2414,1743,1184,1274,951,590,220,45,5,3460,24119,6012
"新竹縣","新埔鎮","男",17900,685,515,632,986,1322,1427,1304,1398,1177,1262,1413,1520,1282,936,597,622,434,280,94,13,1,1832,13091,2977
"新竹縣","新埔鎮","女",15691,587,467,574,915,1132,1180,1064,1101,1024,1010,1222,1248,1132,807,587,652,517,310,126,32,4,1628,11028,3035
"新竹縣","竹東鎮","計",96940,4299,4785,5263,6718,7319,6678,7055,8243,7655,7582,7107,6507,5288,3951,2536,2641,1851,994,366,91,11,14347,70152,12441
"新竹縣","竹東鎮","男",48683,2157,2472,2765,3585,3741,3482,3645,4038,3784,3794,3610,3284,2591,1862,1206,1217,797,455,162,30,6,7394,35554,5735
"新竹縣","竹東鎮","女",48257,2142,2313,2498,3133,3578,3196,3410,4205,3871,3788,3497,3223,2697,2089,1330,1424,1054,539,204,61,5,6953,34598,6706
"新竹縣","湖口鄉","計",77502,3515,3848,4049,5204,6092,5720,5798,6831,6001,5790,5986,5382,4245,2905,1976,1757,1169,850,312,61,11,11412,57049,9041
"新竹縣","湖口鄉","男",39281,1843,2022,2116,2712,3189,3027,2891,3420,3032,2855,3038,2718,2119,1381,878,774,576,496,159,31,4,5981,29001,4299
"新竹縣","湖口鄉","女",38221,1672,1826,1933,2492,2903,2693,2907,3411,2969,2935,2948,2664,2126,1524,1098,983,593,354,153,30,7,5431,28048,4742
"新竹縣","橫山鄉","計",13171,425,392,468,775,955,831,815,880,829,1004,1051,1034,923,713,583,631,437,266,138,18,3,1285,9097,2789
"新竹縣","橫山鄉","男",7132,217,210,235,422,501,453,433,511,453,582,624,613,523,391,288,304,192,118,53,8,1,662,5115,1355
