"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100","young","strong","old"
"新竹市","東區","計",209826,13259,14351,14572,13614,12545,11814,14684,20198,18563,16581,14452,12300,10683,7622,4736,4083,2794,1890,860,189,36,42182,145434,22210
"新竹市","東區","男",103357,6877,7592,7597,7046,6484,6066,7044,9345,8926,8121,7190,6123,5140,3469,2053,1667,1154,912,445,86,20,22066,71485,9806
"新竹市","東區","女",106469,6382,6759,6975,6568,6061,5748,7640,10853,9637,8460,7262,6177,5543,4153,2683,2416,1640,978,415,103,16,20116,73949,12404
"新竹市","北區","計",149993,8217,7623,7405,9233,9816,9661,11603,14276,12367,11763,11102,10050,8806,6440,3908,3225,2121,1547,676,136,18,23245,108677,18071
"新竹市","北區","男",73444,4208,3978,3851,4783,5052,5002,5622,6780,5987,5746,5514,4741,4081,3013,1683,1302,892,761,369,72,7,12037,53308,8099
"新竹市","北區","女",76549,4009,3645,3554,4450,4764,4659,5981,7496,6380,6017,5588,5309,4725,3427,2225,1923,1229,786,307,64,11,11208,55369,9972
"新竹市","香山區","計",77518,4449,3106,3301,4994,5607,5658,6733,7857,6447,6032,5858,5184,4432,2902,1788,1421,912,559,215,55,8,10856,58802,7860
"新竹市","香山區","男",39405,2284,1628,1747,2669,2843,2893,3384,4097,3399,3089,2999,2568,2140,1413,849,637,396,262,89,16,3,5659,30081,3665
"新竹市","香山區","女",38113,2165,1478,1554,2325,2764,2765,3349,3760,3048,2943,2859,2616,2292,1489,939,784,516,297,126,39,5,5197,28721,4195
"新竹縣","竹北市","計",176604,14050,14206,12300,11040,10011,9072,13210,19790,19259,14683,11101,8339,6561,4637,2944,2567,1511,910,336,68,9,40556,123066,12982
"新竹縣","竹北市","男",87972,7262,7397,6496,5780,5139,4628,6263,9075,9509,7410,5581,4237,3148,2175,1403,1220,638,438,142,26,5,21155,60770,6047
"新竹縣","竹北市","女",88632,6788,6809,5804,5260,4872,4444,6947,10715,9750,7273,5520,4102,3413,2462,1541,1347,873,472,194,42,4,19401,62296,6935
"新竹縣","關西鎮","計",29408,921,1000,1331,1866,2048,1857,1826,1923,2009,2255,2473,2160,1934,1380,1161,1378,1041,563,232,42,8,3252,20351,5805
"新竹縣","關西鎮","男",15741,471,543,673,1003,1065,1009,960,1011,1073,1283,1469,1240,1095,692,591,695,503,245,99,18,3,1687,11208,2846
"新竹縣","關西鎮","女",13667,450,457,658,863,983,848,866,912,936,972,1004,920,839,688,570,683,538,318,133,24,5,1565,9143,2959
"新竹縣","新埔鎮","計",33737,1285,991,1229,1930,2518,2593,2436,2478,2202,2296,2696,2727,2427,1648,1178,1300,941,600,211,43,8,3505,24303,5929
"新竹縣","新埔鎮","男",17989,696,520,643,1011,1368,1421,1343,1363,1199,1271,1443,1470,1310,882,593,633,428,294,86,13,2,1859,13199,2931
"新竹縣","新埔鎮","女",15748,589,471,586,919,1150,1172,1093,1115,1003,1025,1253,1257,1117,766,585,667,513,306,125,30,6,1646,11104,2998
"新竹縣","竹東鎮","計",96817,4352,4779,5453,6850,7269,6585,7186,8246,7575,7582,7187,6338,5213,3779,2565,2642,1773,997,353,81,12,14584,70031,12202
"新竹縣","竹東鎮","男",48661,2189,2473,2882,3633,3729,3434,3690,4052,3737,3823,3647,3186,2540,1817,1194,1208,780,455,159,26,7,7544,35471,5646
"新竹縣","竹東鎮","女",48156,2163,2306,2571,3217,3540,3151,3496,4194,3838,3759,3540,3152,2673,1962,1371,1434,993,542,194,55,5,7040,34560,6556
"新竹縣","湖口鄉","計",77524,3679,3736,4165,5348,6118,5680,5987,6782,5925,5797,6044,5271,4212,2724,1919,1780,1149,846,297,51,14,11580,57164,8780
"新竹縣","湖口鄉","男",39292,1911,1975,2190,2788,3207,2965,2960,3407,2997,2887,3075,2630,2107,1289,858,790,571,504,151,23,7,6076,29023,4193
"新竹縣","湖口鄉","女",38232,1768,1761,1975,2560,2911,2715,3027,3375,2928,2910,2969,2641,2105,1435,1061,990,578,342,146,28,7,5504,28141,4587
"新竹縣","橫山鄉","計",13298,465,403,482,789,960,828,839,887,849,1007,1074,1008,941,674,598,646,419,278,130,19,2,1350,9182,2766
"新竹縣","橫山鄉","男",7211,235,219,243,422,512,454,443,510,464,591,641,588,532,367,301,318,185,122,54,9,1,697,5157,1357
"新竹縣","橫山鄉","女",6087,230,184,239,367,448,374,396,377,385,416,433,420,409,307,297,328,234,156,76,10,1,653,4025,1409
"新竹縣","新豐鄉","計",56452,2924,3114,3263,3965,4353,3983,4301,5385,4526,4156,4231,3612,2946,1920,1183,1134,745,501,165,41,4,9301,41458,5693
"新竹縣","新豐鄉","男",28980,1497,1644,1692,2100,2320,2130,2158,2696,2338,2117,2171,1917,1458,961,587,524,350,227,73,20,0,4833,21405,2742
"新竹縣","新豐鄉","女",27472,1427,1470,1571,1865,2033,1853,2143,2689,2188,2039,2060,1695,1488,959,596,610,395,274,92,21,4,4468,20053,2951
"新竹縣","芎林鄉","計",20165,793,638,783,1365,1607,1536,1361,1382,1392,1519,1667,1568,1286,907,678,720,520,321,103,16,3,2214,14683,3268
"新竹縣","芎林鄉","男",10698,429,343,415,709,831,825,731,698,722,832,926,878,680,494,364,385,241,149,42,4,0,1187,7832,1679
"新竹縣","芎林鄉","女",9467,364,295,368,656,776,711,630,684,670,687,741,690,606,413,314,335,279,172,61,12,3,1027,6851,1589
"新竹縣","寶山鄉","計",14378,504,389,474,959,1160,1093,913,1086,1028,1207,1402,1195,897,563,422,458,326,197,90,13,2,1367,10940,2071
"新竹縣","寶山鄉","男",7763,275,203,249,489,609,579,484,583,560,651,799,698,515,318,226,232,160,93,33,7,0,727,5967,1069
"新竹縣","寶山鄉","女",6615,229,186,225,470,551,514,429,503,468,556,603,497,382,245,196,226,166,104,57,6,2,640,4973,1002
"新竹縣","北埔鄉","計",9531,319,245,405,648,713,623,585,636,604,746,779,728,588,466,401,458,315,186,67,19,0,969,6650,1912
"新竹縣","北埔鄉","男",5172,161,138,217,320,390,319,338,334,321,438,467,460,330,237,196,244,152,79,26,5,0,516,3717,939
"新竹縣","北埔鄉","女",4359,158,107,188,328,323,304,247,302,283,308,312,268,258,229,205,214,163,107,41,14,0,453,2933,973
"新竹縣","峨眉鄉","計",5593,175,109,151,252,364,354,328,320,331,386,473,487,432,340,281,329,239,164,59,15,4,435,3727,1431
"新竹縣","峨眉鄉","男",3099,89,57,86,151,180,190,171,173,179,230,297,293,264,210,141,165,122,64,24,10,3,232,2128,739
"新竹縣","峨眉鄉","女",2494,86,52,65,101,184,164,157,147,152,156,176,194,168,130,140,164,117,100,35,5,1,203,1599,692
"新竹縣","尖石鄉","計",9412,708,564,636,749,791,703,737,802,662,638,634,575,471,286,165,138,90,44,16,2,1,1908,6762,742
"新竹縣","尖石鄉","男",4987,359,301,332,376,407,381,401,462,365,368,326,315,240,144,84,64,33,20,8,1,0,992,3641,354
