city,area,gender,total,age_4,age_9,age_14,age_19,age_24,age_29,age_34,age_39,age_44,age_49,age_54,age_59,age_64,age_69,age_74,age_79,age_84,age_89,age_94,age_99,age_100,young,strong,old
新竹市,東區,計,207081,12948,14061,15614,13697,12384,11551,17000,20014,17742,16041,13944,11909,9815,6095,4872,3842,2739,1877,753,146,37,42623,144097,20361
新竹市,東區,男,102017,6732,7386,8127,7112,6329,5809,8060,9344,8440,7894,7063,5864,4725,2792,2080,1592,1232,958,389,69,20,22245,70640,9132
新竹市,東區,女,105064,6216,6675,7487,6585,6055,5742,8940,10670,9302,8147,6881,6045,5090,3303,2792,2250,1507,919,364,77,17,20378,73457,11229
新竹市,北區,計,148766,8340,7681,8096,9526,9570,9755,13106,13993,11843,11538,10852,9644,8297,5026,4104,2944,2169,1569,575,123,15,24117,108124,16525
新竹市,北區,男,72989,4321,4023,4196,4899,4995,4886,6214,6746,5807,5678,5300,4564,3874,2300,1737,1239,985,832,322,62,9,12540,52963,7486
新竹市,北區,女,75777,4019,3658,3900,4627,4575,4869,6892,7247,6036,5860,5552,5080,4423,2726,2367,1705,1184,737,253,61,6,11577,55161,9039
新竹市,香山區,計,76412,4444,3255,3605,5063,5660,5555,7755,7469,6025,5781,5881,4813,4054,2280,1778,1298,934,540,173,44,5,11304,58056,7052
新竹市,香山區,男,38927,2310,1691,1947,2651,2917,2811,3850,3865,3255,2973,2974,2393,1971,1118,849,570,438,260,71,9,4,5948,29660,3319
新竹市,香山區,女,37485,2134,1564,1658,2412,2743,2744,3905,3604,2770,2808,2907,2420,2083,1162,929,728,496,280,102,35,1,5356,28396,3733
新竹縣,竹北市,計,165540,12829,13434,11849,10512,9449,8527,14469,19646,17081,12807,9944,7553,5827,3575,3127,2264,1467,843,262,59,16,38112,115815,11613
新竹縣,竹北市,男,82537,6593,7027,6194,5514,4906,4260,6784,9150,8548,6492,5045,3809,2760,1708,1498,1052,645,421,105,17,9,19814,57268,5455
新竹縣,竹北市,女,83003,6236,6407,5655,4998,4543,4267,7685,10496,8533,6315,4899,3744,3067,1867,1629,1212,822,422,157,42,7,18298,58547,6158
新竹縣,關西鎮,計,30657,1142,1121,1598,1987,2127,1891,2116,2051,2145,2405,2407,2144,1805,1190,1438,1384,958,515,182,48,3,3861,21078,5718
新竹縣,關西鎮,男,16338,551,596,856,1018,1084,1022,1059,1081,1212,1390,1428,1215,988,599,740,690,468,245,78,18,0,2003,11497,2838
新竹縣,關西鎮,女,14319,591,525,742,969,1043,869,1057,970,933,1015,979,929,817,591,698,694,490,270,104,30,3,1858,9581,2880
新竹縣,新埔鎮,計,34407,1278,1133,1499,2085,2693,2540,2747,2465,2124,2423,2840,2640,2233,1362,1346,1290,921,550,190,45,3,3910,24790,5707
新竹縣,新埔鎮,男,18286,676,576,799,1129,1453,1348,1474,1346,1176,1337,1521,1428,1205,725,677,620,438,271,72,14,1,2051,13417,2818
新竹縣,新埔鎮,女,16121,602,557,700,956,1240,1192,1273,1119,948,1086,1319,1212,1028,637,669,670,483,279,118,31,2,1859,11373,2889
新竹縣,竹東鎮,計,96046,4279,5024,6302,7134,7118,6221,7608,7942,7628,7334,7219,5948,4764,3088,2876,2554,1718,891,316,71,11,15605,68916,11525
新竹縣,竹東鎮,男,48292,2166,2618,3324,3748,3645,3242,3746,3890,3810,3767,3665,2982,2291,1518,1353,1171,786,410,134,21,5,8108,34786,5398
新竹縣,竹東鎮,女,47754,2113,2406,2978,3386,3473,2979,3862,4052,3818,3567,3554,2966,2473,1570,1523,1383,932,481,182,50,6,7497,34130,6127
新竹縣,湖口鄉,計,77215,3717,3933,4686,5592,6045,5543,6630,6592,5779,5929,5867,4861,3787,2260,2084,1651,1157,809,240,45,8,12336,56625,8254
新竹縣,湖口鄉,男,39242,1933,2112,2449,2894,3194,2783,3282,3353,2956,2985,2956,2462,1873,1021,979,744,655,471,112,24,4,6494,28738,4010
