"city","area","gender","total","age_4","age_9","age_14","age_19","age_24","age_29","age_34","age_39","age_44","age_49","age_54","age_59","age_64","age_69","age_74","age_79","age_84","age_89","age_94","age_99","age_100","young","strong","old"
"新竹市","東區","計",210123,13240,14351,14566,13585,12605,11857,14570,20207,18695,16622,14461,12323,10683,7717,4735,4115,2796,1908,858,194,35,42157,145608,22358
"新竹市","東區","男",103523,6866,7588,7598,7039,6517,6089,6990,9378,8975,8130,7195,6146,5138,3518,2055,1679,1155,911,446,90,20,22052,71597,9874
"新竹市","東區","女",106600,6374,6763,6968,6546,6088,5768,7580,10829,9720,8492,7266,6177,5545,4199,2680,2436,1641,997,412,104,15,20105,74011,12484
"新竹市","北區","計",150088,8182,7632,7382,9200,9850,9687,11559,14187,12450,11789,11097,10072,8807,6496,3930,3248,2129,1542,692,138,19,23196,108698,18194
"新竹市","北區","男",73484,4174,4004,3830,4769,5078,5017,5600,6742,6031,5745,5505,4769,4070,3043,1693,1312,890,752,378,74,8,12008,53326,8150
"新竹市","北區","女",76604,4008,3628,3552,4431,4772,4670,5959,7445,6419,6044,5592,5303,4737,3453,2237,1936,1239,790,314,64,11,11188,55372,10044
"新竹市","香山區","計",77542,4441,3103,3300,4963,5594,5692,6657,7861,6464,6060,5851,5208,4457,2908,1790,1432,919,556,223,55,8,10844,58807,7891
"新竹市","香山區","男",39405,2283,1628,1741,2641,2845,2914,3339,4095,3395,3115,2988,2582,2155,1415,853,640,404,258,95,16,3,5652,30069,3684
"新竹市","香山區","女",38137,2158,1475,1559,2322,2749,2778,3318,3766,3069,2945,2863,2626,2302,1493,937,792,515,298,128,39,5,5192,28738,4207
"新竹縣","竹北市","計",176966,14028,14280,12319,11058,10048,9093,13102,19731,19367,14807,11116,8393,6578,4669,2949,2579,1522,903,346,67,11,40627,123293,13046
"新竹縣","竹北市","男",88171,7273,7424,6496,5819,5155,4648,6200,9061,9534,7473,5588,4274,3155,2188,1405,1226,641,429,151,26,5,21193,60907,6071
"新竹縣","竹北市","女",88795,6755,6856,5823,5239,4893,4445,6902,10670,9833,7334,5528,4119,3423,2481,1544,1353,881,474,195,41,6,19434,62386,6975
"新竹縣","關西鎮","計",29380,920,986,1329,1852,2054,1873,1796,1932,1998,2252,2469,2184,1903,1422,1143,1373,1050,558,235,42,9,3235,20313,5832
"新竹縣","關西鎮","男",15726,469,542,666,1000,1064,1020,949,1010,1065,1281,1460,1261,1079,712,583,691,508,246,98,19,3,1677,11189,2860
"新竹縣","關西鎮","女",13654,451,444,663,852,990,853,847,922,933,971,1009,923,824,710,560,682,542,312,137,23,6,1558,9124,2972
"新竹縣","新埔鎮","計",33713,1261,1000,1225,1922,2510,2601,2422,2489,2188,2293,2675,2733,2434,1662,1187,1298,943,596,222,45,7,3486,24267,5960
"新竹縣","新埔鎮","男",17972,682,518,649,1004,1359,1425,1333,1373,1190,1272,1429,1482,1310,888,599,627,431,293,91,15,2,1849,13177,2946
"新竹縣","新埔鎮","女",15741,579,482,576,918,1151,1176,1089,1116,998,1021,1246,1251,1124,774,588,671,512,303,131,30,5,1637,11090,3014
"新竹縣","竹東鎮","計",96831,4319,4795,5434,6815,7279,6602,7141,8241,7605,7597,7162,6344,5235,3820,2543,2643,1799,1006,357,82,12,14548,70021,12262
