city,area,gender,total,age_4,age_9,age_14,age_19,age_24,age_29,age_34,age_39,age_44,age_49,age_54,age_59,age_64,age_69,age_74,age_79,age_84,age_89,age_94,age_99,age_100,young,strong,old
新竹市,東區,計,13265,14114,8749,5877,13897,12431,11582,15488,20441,17854,16265,14293,12133,10415,7098,4600,4047,2715,1921,818,161,36,42131,145306,22125
新竹市,東區,男,6947,7426,4588,3040,7219,6354,5919,7401,9520,8489,8034,7125,6010,5016,3241,1970,1672,1164,947,420,69,19,22063,71401,9794
新竹市,東區,女,6318,6688,4161,2837,6678,6077,5663,8087,10921,9365,8231,7168,6123,5399,3857,2630,2375,1551,974,398,92,17,20068,73905,12331
新竹市,北區,計,8358,7558,4283,3345,9369,9666,9659,12216,14359,11859,11686,10974,9885,8771,5862,3833,3124,2117,1588,635,134,19,23234,108676,17977
新竹市,北區,男,4307,3918,2238,1772,4813,5020,4925,5855,6888,5759,5698,5448,4619,4105,2741,1637,1261,910,809,340,74,9,12020,53292,8055
新竹市,北區,女,4051,3640,2045,1573,4556,4646,4734,6361,7471,6100,5988,5526,5266,4666,3121,2196,1863,1207,779,295,60,10,11214,55384,9922
新竹市,香山區,計,4470,3099,1826,1583,5056,5606,5566,7142,7793,6209,5899,5862,5068,4315,2623,1772,1364,932,560,194,47,6,10836,58775,7817
新竹市,香山區,男,2302,1622,970,844,2673,2867,2855,3558,4088,3280,3048,2984,2512,2088,1290,848,606,414,258,82,12,3,5649,30074,3650
新竹市,香山區,女,2168,1477,856,739,2383,2739,2711,3584,3705,2929,2851,2878,2556,2227,1333,924,758,518,302,112,35,3,5187,28701,4167
新竹縣,竹北市,計,171998,13742,13616,11973,11059,9730,8807,13724,20075,17960,13904,10646,8037,6318,4254,2967,2432,1490,895,297,64,8,39331,120260,12407
新竹縣,竹北市,男,85694,7097,7099,6296,5770,5022,4478,6437,9247,8941,7041,5374,4056,3024,2011,1411,1163,635,439,128,19,6,20492,59390,5812
新竹縣,竹北市,女,86304,6645,6517,5677,5289,4708,4329,7287,10828,9019,6863,5272,3981,3294,2243,1556,1269,855,456,169,45,2,18839,60870,6595
