city,area,gender,total,age_4,age_9,age_14,age_19,age_24,age_29,age_34,age_39,age_44,age_49,age_54,age_59,age_64,age_69,age_74,age_79,age_84,age_89,age_94,age_99,age_100,young,strong,old
新竹市,東區,計,206050,12877,13952,15725,13658,12307,11729,17412,19746,17546,15975,13729,11852,9600,5841,4847,3789,2746,1820,726,128,45,42554,143554,19942
新竹市,東區,男,101549,6690,7370,8204,7061,6312,5835,8283,9204,8351,7900,6937,5823,4591,2682,2075,1574,1248,942,375,64,28,22264,70297,8988
新竹市,東區,女,104501,6187,6582,7521,6597,5995,5894,9129,10542,9195,8075,6792,6029,5009,3159,2772,2215,1498,878,351,64,17,20290,73257,10954
新竹市,北區,計,148457,8273,7716,8176,9594,9628,9858,13479,13756,11854,11446,10832,9594,8079,4817,4071,2878,2220,1514,553,102,17,24165,108120,16172
新竹市,北區,男,72895,4274,4056,4262,4922,4994,4962,6348,6661,5807,5650,5277,4538,3777,2214,1710,1232,1024,809,320,49,9,12592,52936,7367
新竹市,北區,女,75562,3999,3660,3914,4672,4634,4896,7131,7095,6047,5796,5555,5056,4302,2603,2361,1646,1196,705,233,53,8,11573,55184,8805
新竹市,香山區,計,76137,4436,3332,3557,5181,5610,5695,7897,7245,5994,5822,5792,4799,3859,2224,1744,1309,904,521,166,43,7,11325,57894,6918
新竹市,香山區,男,38803,2303,1713,1918,2748,2871,2876,3914,3783,3207,3014,2928,2389,1873,1088,825,577,437,255,68,10,6,5934,29603,3266
新竹市,香山區,女,37334,2133,1619,1639,2433,2739,2819,3983,3462,2787,2808,2864,2410,1986,1136,919,732,467,266,98,33,1,5391,28291,3652
新竹縣,竹北市,計,162248,12598,13069,11706,10494,9149,8555,14736,19266,16617,12264,9591,7345,5620,3416,3095,2198,1409,787,262,54,17,37373,113637,11238
新竹縣,竹北市,男,80986,6539,6795,6126,5480,4777,4231,6899,9062,8317,6209,4879,3698,2675,1638,1493,1011,635,389,109,16,8,19460,56227,5299
新竹縣,竹北市,女,81262,6059,6274,5580,5014,4372,4324,7837,10204,8300,6055,4712,3647,2945,1778,1602,1187,774,398,153,38,9,17913,57410,5939
新竹縣,關西鎮,計,30814,1164,1180,1634,2067,2107,1895,2154,2089,2166,2392,2378,2096,1840,1132,1483,1371,953,494,170,46,3,3978,21184,5652
新竹縣,關西鎮,男,16406,579,619,869,1047,1105,1008,1066,1107,1218,1394,1399,1187,1001,583,755,678,476,224,72,18,1,2067,11532,2807
新竹縣,關西鎮,女,14408,585,561,765,1020,1002,887,1088,982,948,998,979,909,839,549,728,693,477,270,98,28,2,1911,9652,2845
